invoice_id,customer_id,invoice_date,amount,avg_delay,median_delay,std_delay,invoice_count,payment_delay_days
AR0510,C005,2025-12-10,460512,3.090909090909091,3.0,1.1509454047327028,22.0,5
AR0551,C006,2025-01-24,356306,5.768571428571429,5.768571428571429,0.0,0.0,4
AR0118,C006,2025-05-01,372738,4.0,4.0,0.0,1.0,4
AR0046,C006,2025-05-02,107194,4.0,4.0,0.0,2.0,5
AR0186,C006,2025-05-04,397526,4.333333333333333,4.0,0.5773502691896258,3.0,5
AR0545,C006,2025-05-09,122918,4.5,4.5,0.5773502691896258,4.0,4
AR0180,C006,2025-05-23,482228,4.4,4.0,0.5477225575051663,5.0,5
AR0569,C006,2025-07-21,284998,4.5,4.5,0.5477225575051662,6.0,5
AR0363,C006,2025-08-10,70627,4.571428571428571,5.0,0.5345224838248489,7.0,4
AR0547,C006,2025-09-15,409471,4.5,4.5,0.5345224838248488,8.0,3
AR0379,C006,2025-09-29,152709,4.333333333333333,4.0,0.7071067811865476,9.0,5
AR0077,C006,2025-11-21,314697,4.4,4.5,0.6992058987801011,10.0,4
AR0151,C006,2025-11-26,318130,4.363636363636363,4.0,0.6741998624632421,11.0,3
AR0442,C006,2025-11-27,482965,4.25,4.0,0.7537783614444091,12.0,5
AR0334,C006,2025-12-06,170565,4.3076923076923075,4.0,0.7510676161988108,13.0,2
AR0204,C007,2025-01-07,320974,5.768571428571429,5.768571428571429,0.0,0.0,0
AR0564,C007,2025-01-26,172154,0.0,0.0,0.0,1.0,1
AR0199,C007,2025-04-10,175318,0.5,0.5,0.7071067811865476,2.0,-1
AR0041,C007,2025-05-08,120448,0.0,0.0,1.0,3.0,-1
AR0633,C007,2025-06-21,194570,-0.25,-0.5,0.9574271077563381,4.0,1
AR0447,C007,2025-09-17,487783,0.0,0.0,1.0,5.0,2
AR0100,C007,2025-11-02,322186,0.3333333333333333,0.5,1.2110601416389968,6.0,0
AR0619,C007,2025-11-12,530972,0.2857142857142857,0.0,1.1126972805283737,7.0,2
AR0317,C007,2025-12-12,185367,0.5,0.5,1.1952286093343936,8.0,1
AR0623,C007,2025-12-15,551333,0.5555555555555556,1.0,1.130388330520878,9.0,-1
AR0331,C007,2025-12-18,276365,0.4,0.5,1.1737877907772671,10.0,2
AR0168,C007,2025-12-23,552502,0.5454545454545454,1.0,1.2135597524338357,11.0,0
AR0356,C007,2025-12-26,103980,0.5,0.5,1.1677484162422844,12.0,2
AR0476,C008,2025-01-25,145010,5.768571428571429,5.768571428571429,0.0,0.0,1
AR0207,C008,2025-02-03,230086,1.0,1.0,0.0,1.0,1
AR0323,C008,2025-02-19,143102,1.0,1.0,0.0,2.0,2
AR0522,C008,2025-05-15,426304,1.3333333333333333,1.0,0.5773502691896258,3.0,0
AR0462,C008,2025-05-26,63974,1.0,1.0,0.816496580927726,4.0,-1
AR0475,C008,2025-05-28,144591,0.6,1.0,1.140175425099138,5.0,0
AR0127,C008,2025-08-22,89908,0.5,0.5,1.0488088481701516,6.0,1
AR0254,C008,2025-08-25,81586,0.5714285714285714,1.0,0.9759000729485332,7.0,-1
AR0478,C008,2025-09-13,382792,0.375,0.5,1.0606601717798212,8.0,2
AR0542,C008,2025-09-23,115257,0.5555555555555556,1.0,1.130388330520878,9.0,0
AR0341,C009,2025-01-08,207822,5.768571428571429,5.768571428571429,0.0,0.0,10
AR0470,C009,2025-01-20,170407,10.0,10.0,0.0,1.0,25
AR0084,C009,2025-01-22,181616,17.5,17.5,10.606601717798213,2.0,18
AR0489,C009,2025-01-23,204706,17.666666666666668,18.0,7.505553499465135,3.0,29
AR0492,C009,2025-02-02,395413,20.5,21.5,8.34665601703261,4.0,24
AR0525,C009,2025-02-07,257000,21.2,24.0,7.395944834840239,5.0,6
AR0581,C009,2025-02-19,226518,18.666666666666668,21.0,9.070097390142328,6.0,18
AR0446,C009,2025-03-21,69524,18.571428571428573,18.0,8.283661486266059,7.0,13
AR0002,C009,2025-05-07,410588,17.875,18.0,7.918107638282556,8.0,30
AR0072,C009,2025-05-16,80517,19.22222222222222,18.0,8.437680039231426,9.0,1
AR0585,C009,2025-06-20,507735,17.4,18.0,9.822875795249011,10.0,25
AR0067,C009,2025-06-28,554099,18.09090909090909,18.0,9.596400840466652,11.0,-1
AR0324,C009,2025-07-18,257839,16.5,18.0,10.681334611878286,12.0,18
AR0643,C009,2025-09-02,218108,16.615384615384617,18.0,10.235057901956893,13.0,10
AR0652,C009,2025-09-02,115359,16.142857142857142,18.0,9.991204923540295,14.0,24
AR0688,C009,2025-09-15,197405,16.666666666666668,18.0,9.839183086492689,15.0,9
AR0635,C009,2025-09-16,305183,16.1875,18.0,9.696863754156116,16.0,12
AR0005,C009,2025-09-18,320555,15.941176470588236,18.0,9.44371873413285,17.0,0
AR0307,C009,2025-10-04,623372,15.055555555555555,15.5,9.902300518341965,18.0,18
AR0364,C009,2025-10-12,66881,15.210526315789474,18.0,9.646985409203236,19.0,30
AR0439,C009,2025-11-01,509122,15.95,18.0,9.95503046599795,20.0,0
AR0149,C009,2025-11-15,390044,15.19047619047619,18.0,10.308341513643443,21.0,-4
AR0546,C009,2025-11-17,232397,14.318181818181818,15.5,10.860090167284913,22.0,29
AR0023,C009,2025-12-04,349939,14.956521739130435,18.0,11.04321371566993,23.0,30
AR0441,C009,2025-12-10,505030,15.583333333333334,18.0,11.22852217101287,24.0,28
AR0428,C010,2025-02-01,256203,5.768571428571429,5.768571428571429,0.0,0.0,-2
AR0226,C010,2025-02-06,51267,-2.0,-2.0,0.0,1.0,-1
AR0209,C010,2025-03-18,512062,-1.5,-1.5,0.7071067811865476,2.0,2
AR0284,C010,2025-05-06,298484,-0.3333333333333333,-1.0,2.0816659994661326,3.0,1
AR0559,C010,2025-06-10,542415,0.0,0.0,1.8257418583505538,4.0,0
AR0017,C010,2025-07-11,419775,0.0,0.0,1.5811388300841898,5.0,-1
AR0262,C010,2025-08-17,302371,-0.16666666666666666,-0.5,1.4719601443879746,6.0,1
AR0377,C010,2025-10-17,474028,0.0,0.0,1.4142135623730951,7.0,1
AR0007,C010,2025-11-18,135038,0.125,0.5,1.3562026818605375,8.0,1
AR0219,C011,2025-01-02,234180,5.768571428571429,5.768571428571429,0.0,0.0,1
AR0055,C011,2025-01-30,286248,1.0,1.0,0.0,1.0,-2
AR0543,C011,2025-03-24,217542,-0.5,-0.5,2.1213203435596424,2.0,-1
AR0286,C011,2025-03-31,70612,-0.6666666666666666,-1.0,1.5275252316519468,3.0,2
AR0309,C011,2025-05-12,499224,0.0,0.0,1.8257418583505538,4.0,1
AR0024,C011,2025-05-16,296653,0.2,1.0,1.6431676725154984,5.0,2
AR0432,C011,2025-07-06,215481,0.5,1.0,1.6431676725154984,6.0,0
AR0557,C011,2025-08-14,237905,0.42857142857142855,1.0,1.5118578920369088,7.0,1
AR0596,C011,2025-09-26,402258,0.5,1.0,1.4142135623730951,8.0,2
AR0163,C011,2025-11-07,439883,0.6666666666666666,1.0,1.4142135623730951,9.0,-2
AR0529,C011,2025-12-31,509619,0.4,1.0,1.577621275493231,10.0,-1
AR0206,C012,2025-01-27,152371,5.768571428571429,5.768571428571429,0.0,0.0,1
AR0056,C012,2025-02-05,331969,1.0,1.0,0.0,1.0,-2
AR0340,C012,2025-02-26,366584,-0.5,-0.5,2.1213203435596424,2.0,-2
AR0672,C012,2025-03-11,484741,-1.0,-2.0,1.7320508075688772,3.0,1
AR0043,C012,2025-05-23,262550,-0.5,-0.5,1.7320508075688772,4.0,-1
AR0631,C012,2025-05-29,479665,-0.6,-1.0,1.51657508881031,5.0,-2
AR0088,C012,2025-07-31,32995,-0.8333333333333334,-1.5,1.4719601443879744,6.0,-1
AR0629,C012,2025-08-02,482550,-0.8571428571428571,-1.0,1.3451854182690985,7.0,-1
AR0183,C012,2025-09-07,150892,-0.875,-1.0,1.2464234547582247,8.0,0
AR0697,C012,2025-10-03,348738,-0.7777777777777778,-1.0,1.201850425154663,9.0,-1
AR0099,C012,2025-10-25,206934,-0.8,-1.0,1.1352924243950933,10.0,-2
AR0640,C012,2025-11-09,609527,-0.9090909090909091,-1.0,1.1361818036340356,11.0,1
AR0599,C013,2025-01-10,251231,5.768571428571429,5.768571428571429,0.0,0.0,4
AR0494,C013,2025-01-22,185463,4.0,4.0,0.0,1.0,4
AR0037,C013,2025-02-18,70819,4.0,4.0,0.0,2.0,5
AR0636,C013,2025-02-27,193373,4.333333333333333,4.0,0.5773502691896258,3.0,3
AR0531,C013,2025-03-13,165734,4.0,4.0,0.816496580927726,4.0,5
AR0567,C013,2025-03-23,323419,4.2,4.0,0.8366600265340756,5.0,5
AR0412,C013,2025-03-30,386204,4.333333333333333,4.5,0.8164965809277259,6.0,3
AR0110,C013,2025-08-04,368614,4.142857142857143,4.0,0.8997354108424375,7.0,5
AR0258,C013,2025-11-03,372403,4.25,4.5,0.8864052604279183,8.0,3
AR0583,C013,2025-11-05,373003,4.111111111111111,4.0,0.927960727138337,9.0,5
AR0459,C013,2025-11-06,120328,4.2,4.5,0.9189365834726815,10.0,4
AR0122,C013,2025-12-23,287709,4.181818181818182,4.0,0.873862897505303,11.0,5
AR0369,C014,2025-03-21,418965,5.768571428571429,5.768571428571429,0.0,0.0,5
AR0617,C014,2025-04-14,454085,5.0,5.0,0.0,1.0,4
AR0198,C014,2025-09-05,189709,4.5,4.5,0.7071067811865476,2.0,4
AR0337,C014,2025-10-28,173186,4.333333333333333,4.0,0.5773502691896257,3.0,3
AR0061,C014,2025-12-09,514137,4.0,4.0,0.8164965809277259,4.0,4
AR0075,C014,2025-12-18,458279,4.0,4.0,0.7071067811865475,5.0,4
AR0094,C015,2025-01-13,366047,5.768571428571429,5.768571428571429,0.0,0.0,-1
AR0468,C015,2025-01-15,187082,-1.0,-1.0,0.0,1.0,-2
AR0279,C015,2025-02-16,247526,-1.5,-1.5,0.7071067811865476,2.0,-2
AR0370,C015,2025-02-25,203560,-1.6666666666666667,-2.0,0.5773502691896257,3.0,2
AR0125,C015,2025-04-01,441585,-0.75,-1.5,1.8929694486000912,4.0,2
AR0119,C015,2025-04-12,97255,-0.2,-1.0,2.04939015319192,5.0,-2
AR0698,C015,2025-06-03,540037,-0.5,-1.5,1.9748417658131499,6.0,-1
AR0407,C015,2025-06-20,492754,-0.5714285714285714,-1.0,1.8126539343499315,7.0,-1
AR0137,C015,2025-07-16,383829,-0.625,-1.0,1.685018016012207,8.0,-1
AR0390,C015,2025-07-22,334218,-0.6666666666666666,-1.0,1.5811388300841898,9.0,-2
AR0190,C015,2025-07-27,382695,-0.8,-1.0,1.5491933384829668,10.0,-1
AR0266,C015,2025-07-30,42883,-0.8181818181818182,-1.0,1.4709304414677002,11.0,0
AR0358,C015,2025-07-31,197697,-0.75,-1.0,1.4222261679238197,12.0,1
AR0455,C015,2025-10-01,189010,-0.6153846153846154,-1.0,1.4455945454184551,13.0,0
AR0687,C015,2025-10-04,174084,-0.5714285714285714,-1.0,1.3985864135061359,14.0,-2
AR0301,C015,2025-11-22,155587,-0.6666666666666666,-1.0,1.3972762620115438,15.0,2
AR0686,C016,2025-01-23,230902,5.768571428571429,5.768571428571429,0.0,0.0,5
AR0411,C016,2025-02-22,96778,5.0,5.0,0.0,1.0,4
AR0520,C016,2025-02-28,33586,4.5,4.5,0.7071067811865476,2.0,3
AR0480,C016,2025-03-15,198616,4.0,4.0,1.0,3.0,5
AR0218,C016,2025-03-30,355812,4.25,4.5,0.9574271077563381,4.0,2
AR0159,C016,2025-04-13,459997,3.8,4.0,1.3038404810405297,5.0,2
AR0570,C016,2025-04-21,325840,3.5,3.5,1.378404875209022,6.0,4
AR0028,C016,2025-04-26,53568,3.5714285714285716,4.0,1.2724180205607034,7.0,4
AR0620,C016,2025-05-05,46615,3.625,4.0,1.1877349391654208,8.0,3
AR0062,C016,2025-05-16,227505,3.5555555555555554,4.0,1.130388330520878,9.0,3
AR0135,C016,2025-05-20,196080,3.5,3.5,1.0801234497346435,10.0,4
AR0690,C016,2025-06-04,551322,3.5454545454545454,4.0,1.0357254813546264,11.0,3
AR0068,C016,2025-07-09,169415,3.5,3.5,1.0,12.0,3
AR0467,C016,2025-07-17,62784,3.4615384615384617,3.0,0.9674179220468452,13.0,4
AR0181,C016,2025-08-26,318765,3.5,3.5,0.9405399431259602,14.0,5
AR0036,C016,2025-08-31,443360,3.6,4.0,0.9856107606091623,15.0,5
AR0496,C017,2025-01-19,414941,5.768571428571429,5.768571428571429,0.0,0.0,7
AR0343,C017,2025-01-27,86457,7.0,7.0,0.0,1.0,21
AR0195,C017,2025-04-29,83258,14.0,14.0,9.899494936611665,2.0,7
AR0244,C017,2025-06-15,92892,11.666666666666666,7.0,8.082903768654761,3.0,20
AR0184,C017,2025-06-24,191614,13.75,13.5,7.804912982645397,4.0,12
AR0223,C017,2025-11-17,427984,13.4,12.0,6.8044103344816,5.0,7
AR0217,C017,2025-12-05,81334,12.333333333333334,9.5,6.623191577077222,6.0,5
AR0290,C017,2025-12-08,32403,11.285714285714286,7.0,6.651172470932869,7.0,24
AR0302,C017,2025-12-14,540982,12.875,9.5,7.623975340988453,8.0,3
AR0298,C018,2025-01-05,316709,5.768571428571429,5.768571428571429,0.0,0.0,2
AR0339,C018,2025-03-16,101375,2.0,2.0,0.0,1.0,4
AR0237,C018,2025-04-03,326881,3.0,3.0,1.4142135623730951,2.0,5
AR0333,C018,2025-04-08,84046,3.6666666666666665,4.0,1.5275252316519468,3.0,5
AR0179,C018,2025-06-15,536523,4.0,4.5,1.4142135623730951,4.0,3
AR0155,C018,2025-08-04,152262,3.8,4.0,1.3038404810405297,5.0,2
AR0134,C018,2025-08-14,60623,3.5,3.5,1.378404875209022,6.0,4
AR0463,C018,2025-08-19,494641,3.5714285714285716,4.0,1.2724180205607034,7.0,3
AR0563,C018,2025-08-19,149980,3.5,3.5,1.1952286093343936,8.0,3
AR0608,C018,2025-10-13,229448,3.4444444444444446,3.0,1.130388330520878,9.0,3
AR0615,C019,2025-02-10,201594,5.768571428571429,5.768571428571429,0.0,0.0,23
AR0401,C019,2025-02-28,232353,23.0,23.0,0.0,1.0,-4
AR0612,C019,2025-03-04,368767,9.5,9.5,19.091883092036785,2.0,29
AR0052,C019,2025-04-22,50662,16.0,23.0,17.578395831246947,3.0,29
AR0436,C019,2025-05-10,399444,19.25,26.0,15.75595125658873,4.0,4
AR0261,C019,2025-06-02,527939,16.2,23.0,15.254507530562892,5.0,26
AR0393,C019,2025-06-17,95341,17.833333333333332,24.5,14.218532507494107,6.0,-5
AR0310,C019,2025-06-23,507896,14.571428571428571,23.0,15.586929811620406,7.0,2
AR0497,C019,2025-07-02,472008,13.0,13.5,15.099668870541498,8.0,-2
AR0283,C019,2025-07-03,216524,11.333333333333334,4.0,14.983324063771697,9.0,22
AR0050,C019,2025-08-05,385214,12.4,13.0,14.523544103741804,10.0,30
AR0013,C019,2025-08-11,102920,14.0,22.0,14.7648230602334,11.0,24
AR0573,C019,2025-10-02,31573,14.833333333333334,22.5,14.37063504216677,12.0,1
AR0639,C019,2025-10-18,485654,13.76923076923077,22.0,14.283754444320337,13.0,7
AR0074,C019,2025-11-06,169559,13.285714285714286,14.5,13.842123955679474,14.0,16
AR0242,C019,2025-12-06,298937,13.466666666666667,16.0,13.357002800386162,15.0,30
AR0291,C019,2025-12-13,398546,14.5,19.0,13.549907748763458,16.0,5
AR0210,C020,2025-02-13,150123,5.768571428571429,5.768571428571429,0.0,0.0,9
AR0649,C020,2025-03-23,267438,9.0,9.0,0.0,1.0,12
AR0444,C020,2025-04-03,132298,10.5,10.5,2.1213203435596424,2.0,13
AR0020,C020,2025-05-03,50369,11.333333333333334,12.0,2.0816659994661326,3.0,11
AR0692,C020,2025-05-21,51959,11.25,11.5,1.707825127659933,4.0,10
AR0113,C020,2025-05-27,130196,11.0,11.0,1.5811388300841895,5.0,14
AR0609,C020,2025-05-28,389571,11.5,11.5,1.8708286933869707,6.0,11
AR0112,C020,2025-07-27,307276,11.428571428571429,11.0,1.7182493859684491,7.0,8
AR0304,C020,2025-08-14,37492,11.0,11.0,2.0,8.0,13
AR0556,C020,2025-08-21,58258,11.222222222222221,11.0,1.986062547968831,9.0,8
AR0440,C020,2025-10-14,282734,10.9,11.0,2.131770260709264,10.0,13
AR0214,C020,2025-10-29,318279,11.090909090909092,11.0,2.119176512447486,11.0,12
AR0227,C020,2025-11-01,536469,11.166666666666666,11.5,2.0375267241229382,12.0,12
AR0191,C020,2025-12-06,422372,11.23076923076923,12.0,1.9644272343292228,13.0,13
AR0593,C020,2025-12-19,454886,11.357142857142858,12.0,1.9456912102680337,14.0,8
AR0064,C021,2025-02-07,24883,5.768571428571429,5.768571428571429,0.0,0.0,1
AR0505,C021,2025-02-22,61979,1.0,1.0,0.0,1.0,0
AR0196,C021,2025-03-03,470905,0.5,0.5,0.7071067811865476,2.0,2
AR0402,C021,2025-03-29,506141,1.0,1.0,1.0,3.0,2
AR0605,C021,2025-03-30,300145,1.25,1.5,0.9574271077563381,4.0,2
AR0562,C021,2025-05-04,264565,1.4,2.0,0.8944271909999159,5.0,-2
AR0154,C021,2025-06-22,481968,0.8333333333333334,1.5,1.602081978759722,6.0,1
AR0306,C021,2025-08-01,112085,0.8571428571428571,1.0,1.4638501094227998,7.0,-1
AR0360,C021,2025-08-07,183852,0.625,1.0,1.5059406173077154,8.0,0
AR0399,C021,2025-10-22,318588,0.5555555555555556,1.0,1.4240006242195884,9.0,2
AR0566,C021,2025-10-23,517501,0.7,1.0,1.4181364924121764,10.0,0
AR0427,C021,2025-11-06,350175,0.6363636363636364,1.0,1.3618169680781094,11.0,2
AR0319,C021,2025-11-09,176878,0.75,1.0,1.3568010505999362,12.0,-2
AR0587,C021,2025-11-10,243101,0.5384615384615384,1.0,1.5063966175050874,13.0,-1
AR0417,C021,2025-11-18,241471,0.42857142857142855,0.5,1.5045717874984441,14.0,-1
AR0182,C022,2025-01-15,279158,5.768571428571429,5.768571428571429,0.0,0.0,4
AR0437,C022,2025-02-11,325523,4.0,4.0,0.0,1.0,3
AR0429,C022,2025-02-13,284528,3.5,3.5,0.7071067811865476,2.0,3
AR0338,C022,2025-03-17,498497,3.3333333333333335,3.0,0.5773502691896258,3.0,2
AR0501,C022,2025-04-06,280153,3.0,3.0,0.816496580927726,4.0,5
AR0376,C022,2025-06-29,26681,3.4,3.0,1.140175425099138,5.0,3
AR0241,C022,2025-07-30,383684,3.3333333333333335,3.0,1.0327955589886444,6.0,5
AR0260,C022,2025-09-17,184086,3.5714285714285716,3.0,1.1338934190276817,7.0,2
AR0606,C022,2025-10-07,267472,3.375,3.0,1.1877349391654208,8.0,4
AR0582,C022,2025-10-13,275187,3.4444444444444446,3.0,1.130388330520878,9.0,3
AR0274,C022,2025-11-16,498128,3.4,3.0,1.0749676997731399,10.0,5
AR0490,C022,2025-11-26,145336,3.5454545454545454,3.0,1.1281521496355322,11.0,5
AR0486,C023,2025-02-04,200775,5.768571428571429,5.768571428571429,0.0,0.0,10
AR0368,C023,2025-02-23,322995,10.0,10.0,0.0,1.0,27
AR0539,C023,2025-03-07,552348,18.5,18.5,12.020815280171307,2.0,30
AR0681,C023,2025-03-21,189196,22.333333333333332,27.0,10.785793124908958,3.0,7
AR0093,C023,2025-06-06,517726,18.5,18.5,11.67618659209133,4.0,9
AR0438,C023,2025-06-08,418555,16.6,10.0,10.96813566655701,5.0,20
AR0263,C023,2025-06-20,355767,17.166666666666668,15.0,9.9079092984679,6.0,29
AR0239,C023,2025-07-29,194749,18.857142857142858,20.0,10.090070555230216,7.0,15
AR0038,C023,2025-08-05,235535,18.375,17.5,9.440603794249602,8.0,24
AR0387,C023,2025-08-09,78138,19.0,20.0,9.027735042633894,9.0,13
AR0508,C023,2025-08-17,42206,18.4,17.5,8.720346578229815,10.0,17
AR0544,C023,2025-09-23,562577,18.272727272727273,17.0,8.283609226549851,11.0,13
AR0410,C023,2025-11-27,581508,17.833333333333332,16.0,8.043442652059483,12.0,4
AR0576,C024,2025-01-24,230020,5.768571428571429,5.768571428571429,0.0,0.0,8
AR0313,C024,2025-02-16,434545,8.0,8.0,0.0,1.0,14
AR0371,C024,2025-02-28,419824,11.0,11.0,4.242640687119285,2.0,12
AR0361,C024,2025-03-20,437105,11.333333333333334,12.0,3.055050463303893,3.0,15
AR0200,C024,2025-04-02,178475,12.25,13.0,3.0956959368344514,4.0,8
AR0485,C024,2025-05-10,411809,11.4,12.0,3.2863353450309964,5.0,8
AR0381,C024,2025-06-09,458072,10.833333333333334,10.0,3.2506409624359724,6.0,13
AR0517,C024,2025-07-10,252752,11.142857142857142,12.0,3.078342163598854,7.0,9
AR0673,C024,2025-07-15,255162,10.875,10.5,2.948970764763288,8.0,14
AR0515,C024,2025-07-16,317399,11.222222222222221,12.0,2.948634335492355,9.0,8
AR0105,C024,2025-08-09,56686,10.9,10.5,2.960855732160327,10.0,13
AR0499,C024,2025-08-12,486347,11.090909090909092,12.0,2.879393875611513,11.0,14
AR0533,C024,2025-08-28,441350,11.333333333333334,12.5,2.870962250261093,12.0,10
AR0530,C024,2025-09-18,158202,11.23076923076923,12.0,2.7735009811261455,13.0,9
AR0511,C024,2025-09-20,506005,11.071428571428571,11.0,2.730575755412026,14.0,10
AR0502,C024,2025-09-23,183813,11.0,10.0,2.6457513110645903,15.0,9
AR0651,C024,2025-11-11,176524,10.875,10.0,2.6044833140823407,16.0,11
AR0174,C024,2025-11-22,633674,10.882352941176471,10.0,2.521962354526145,17.0,15
AR0453,C024,2025-12-13,516451,11.11111111111111,10.5,2.6321292854195817,18.0,11
AR0674,C025,2025-02-11,377947,5.768571428571429,5.768571428571429,0.0,0.0,10
AR0450,C025,2025-03-20,120823,10.0,10.0,0.0,1.0,10
