invoice_id,customer_id,invoice_date,amount,previous_avg_delay,previous_median_delay,previous_std_delay,previous_on_time_ratio,previous_late_ratio,days_since_previous_invoice,payment_delay_days
AR0015,C033,2025-02-24,476402,11.5,11.5,4.949747468305833,0.0,1.0,34.0,12
AR0404,C028,2025-02-24,147567,10.0,10.0,1.4142135623730951,0.0,1.0,8.0,14
AR0295,C031,2025-02-24,144364,22.0,21.0,6.557438524302,0.0,1.0,38.0,19
AR0124,C049,2025-02-24,428116,3.6666666666666665,4.0,1.5275252316519468,0.0,1.0,28.0,5
AR0091,C045,2025-02-25,220562,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-2
AR0370,C015,2025-02-25,203560,-1.6666666666666667,-2.0,0.5773502691896257,1.0,0.0,9.0,2
AR0340,C012,2025-02-26,366584,-0.5,-0.5,2.1213203435596424,0.5,0.5,21.0,-2
AR0592,C044,2025-02-26,238387,1.0,1.0,0.0,0.0,1.0,15.0,2
AR0636,C013,2025-02-27,193373,4.333333333333333,4.0,0.5773502691896258,0.0,1.0,9.0,3
AR0081,C001,2025-02-27,59449,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-1
AR0682,C047,2025-02-27,36891,12.0,12.0,2.449489742783178,0.0,1.0,30.0,14
AR0520,C016,2025-02-28,33586,4.5,4.5,0.7071067811865476,0.0,1.0,6.0,3
AR0401,C019,2025-02-28,232353,23.0,23.0,0.0,0.0,1.0,18.0,-4
AR0224,C028,2025-02-28,305507,11.333333333333334,11.0,2.516611478423583,0.0,1.0,4.0,11
AR0344,C034,2025-02-28,410943,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,9
AR0371,C024,2025-02-28,419824,11.0,11.0,4.242640687119285,0.0,1.0,12.0,12
AR0098,C002,2025-03-01,551793,0.0,0.0,2.8284271247461903,0.5,0.5,13.0,0
AR0650,C045,2025-03-02,408098,-2.0,-2.0,0.0,1.0,0.0,5.0,0
AR0196,C021,2025-03-03,470905,0.5,0.5,0.7071067811865476,0.5,0.5,9.0,2
AR0612,C019,2025-03-04,368767,9.5,9.5,19.091883092036785,0.5,0.5,4.0,29
AR0228,C029,2025-03-05,305591,0.6666666666666666,1.0,0.5773502691896258,0.3333333333333333,0.6666666666666667,12.0,0
AR0537,C005,2025-03-06,214144,3.0,3.0,1.0,0.0,1.0,0.0,2
AR0353,C005,2025-03-06,188815,2.75,2.5,0.9574271077563381,0.0,1.0,13.0,4
AR0203,C045,2025-03-06,407591,-1.0,-1.0,1.4142135623730951,1.0,0.0,4.0,1
AR0539,C023,2025-03-07,552348,18.5,18.5,12.020815280171307,0.0,1.0,12.0,30
AR0249,C036,2025-03-09,196661,-0.3333333333333333,-1.0,2.0816659994661326,0.6666666666666666,0.33333333333333337,15.0,1
AR0664,C030,2025-03-09,332452,-0.3333333333333333,-1.0,1.1547005383792517,0.6666666666666666,0.33333333333333337,29.0,1
AR0305,C047,2025-03-09,77343,12.4,12.0,2.3021728866442674,0.0,1.0,10.0,12
AR0574,C028,2025-03-10,555059,11.25,11.0,2.06155281280883,0.0,1.0,10.0,12
AR0672,C012,2025-03-11,484741,-1.0,-2.0,1.7320508075688772,0.6666666666666666,0.33333333333333337,13.0,1
AR0518,C037,2025-03-12,342227,14.25,16.0,15.88238017426859,0.25,0.75,30.0,18
AR0392,C050,2025-03-12,483735,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,0
AR0471,C045,2025-03-13,480528,-0.3333333333333333,0.0,1.5275252316519468,0.6666666666666666,0.33333333333333337,7.0,1
AR0531,C013,2025-03-13,165734,4.0,4.0,0.816496580927726,0.0,1.0,14.0,5
AR0378,C005,2025-03-14,469753,2.8333333333333335,2.5,0.9831920802501751,0.0,1.0,8.0,2
AR0512,C002,2025-03-15,534689,0.0,0.0,2.0,0.6666666666666666,0.33333333333333337,14.0,2
AR0480,C016,2025-03-15,198616,4.0,4.0,1.0,0.0,1.0,15.0,5
AR0272,C001,2025-03-15,270187,-1.0,-1.0,0.0,1.0,0.0,16.0,-1
AR0339,C018,2025-03-16,101375,2.0,2.0,0.0,0.0,1.0,70.0,4
AR0614,C050,2025-03-16,198121,0.0,0.0,0.0,1.0,0.0,4.0,-2
AR0338,C022,2025-03-17,498497,3.3333333333333335,3.0,0.5773502691896258,0.0,1.0,32.0,2
AR0225,C042,2025-03-18,570709,12.333333333333334,13.0,3.055050463303893,0.0,1.0,26.0,12
AR0209,C010,2025-03-18,512062,-1.5,-1.5,0.7071067811865476,1.0,0.0,40.0,2
AR0696,C027,2025-03-18,203811,4.5,4.5,0.7071067811865476,0.0,1.0,45.0,5
AR0660,C035,2025-03-18,122203,10.666666666666666,10.0,2.0816659994661326,0.0,1.0,35.0,13
AR0600,C027,2025-03-19,271986,4.666666666666667,5.0,0.5773502691896257,0.0,1.0,1.0,3
AR0175,C046,2025-03-20,285568,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,3
AR0361,C024,2025-03-20,437105,11.333333333333334,12.0,3.055050463303893,0.0,1.0,20.0,15
AR0516,C039,2025-03-20,432427,20.5,20.5,2.1213203435596424,0.0,1.0,46.0,23
AR0160,C040,2025-03-20,166825,0.25,0.0,1.2583057392117916,0.75,0.25,34.0,-1
AR0450,C025,2025-03-20,120823,10.0,10.0,0.0,0.0,1.0,37.0,10
AR0369,C014,2025-03-21,418965,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,5
AR0446,C009,2025-03-21,69524,18.571428571428573,18.0,8.283661486266059,0.0,1.0,30.0,13
AR0383,C004,2025-03-21,117907,5.0,5.0,0.0,0.0,1.0,54.0,2
AR0087,C040,2025-03-21,165735,0.0,0.0,1.224744871391589,0.8,0.19999999999999996,1.0,-1
AR0681,C023,2025-03-21,189196,22.333333333333332,27.0,10.785793124908958,0.0,1.0,14.0,7
AR0326,C038,2025-03-21,556842,1.3333333333333333,2.0,1.1547005383792517,0.3333333333333333,0.6666666666666667,51.0,1
AR0252,C046,2025-03-23,210360,3.0,3.0,0.0,0.0,1.0,3.0,2
AR0649,C020,2025-03-23,267438,9.0,9.0,0.0,0.0,1.0,38.0,12
AR0567,C013,2025-03-23,323419,4.2,4.0,0.8366600265340756,0.0,1.0,10.0,5
AR0543,C011,2025-03-24,217542,-0.5,-0.5,2.1213203435596424,0.5,0.5,53.0,-1
AR0164,C050,2025-03-25,210533,-1.0,-1.0,1.4142135623730951,1.0,0.0,9.0,-2
AR0148,C047,2025-03-26,529767,12.333333333333334,12.0,2.065591117977289,0.0,1.0,17.0,15
AR0048,C004,2025-03-26,251494,3.5,3.5,2.1213203435596424,0.0,1.0,5.0,2
AR0281,C029,2025-03-27,441434,0.5,0.5,0.5773502691896257,0.5,0.5,22.0,0
AR0402,C021,2025-03-29,506141,1.0,1.0,1.0,0.3333333333333333,0.6666666666666667,26.0,2
AR0412,C013,2025-03-30,386204,4.333333333333333,4.5,0.8164965809277259,0.0,1.0,7.0,3
AR0218,C016,2025-03-30,355812,4.25,4.5,0.9574271077563381,0.0,1.0,15.0,2
AR0605,C021,2025-03-30,300145,1.25,1.5,0.9574271077563381,0.25,0.75,1.0,2
AR0111,C044,2025-03-31,394113,1.5,1.5,0.7071067811865476,0.0,1.0,33.0,2
AR0286,C011,2025-03-31,70612,-0.6666666666666666,-1.0,1.5275252316519468,0.6666666666666666,0.33333333333333337,7.0,2
AR0125,C015,2025-04-01,441585,-0.75,-1.5,1.8929694486000912,0.75,0.25,35.0,2
AR0200,C024,2025-04-02,178475,12.25,13.0,3.0956959368344514,0.0,1.0,13.0,8
AR0444,C020,2025-04-03,132298,10.5,10.5,2.1213203435596424,0.0,1.0,11.0,13
AR0504,C039,2025-04-03,305985,21.333333333333332,22.0,2.081665999466133,0.0,1.0,14.0,13
AR0237,C018,2025-04-03,326881,3.0,3.0,1.4142135623730951,0.0,1.0,18.0,5
AR0375,C002,2025-04-03,163272,0.5,1.0,1.9148542155126762,0.5,0.5,19.0,0
AR0152,C030,2025-04-04,46363,0.0,0.0,1.1547005383792515,0.5,0.5,26.0,0
AR0638,C046,2025-04-06,27384,2.5,2.5,0.7071067811865476,0.0,1.0,14.0,4
AR0501,C022,2025-04-06,280153,3.0,3.0,0.816496580927726,0.0,1.0,20.0,5
AR0333,C018,2025-04-08,84046,3.6666666666666665,4.0,1.5275252316519468,0.0,1.0,5.0,5
AR0456,C031,2025-04-10,212854,21.25,20.0,5.560275772537426,0.0,1.0,45.0,23
AR0199,C007,2025-04-10,175318,0.5,0.5,0.7071067811865476,0.5,0.5,74.0,-1
AR0119,C015,2025-04-12,97255,-0.2,-1.0,2.04939015319192,0.6,0.4,11.0,-2
AR0159,C016,2025-04-13,459997,3.8,4.0,1.3038404810405297,0.0,1.0,14.0,2
AR0617,C014,2025-04-14,454085,5.0,5.0,0.0,0.0,1.0,24.0,4
AR0391,C001,2025-04-15,178030,-1.0,-1.0,0.0,1.0,0.0,31.0,-1
AR0558,C030,2025-04-15,198358,0.0,0.0,1.0,0.6,0.4,11.0,2
AR0336,C037,2025-04-16,55971,15.0,18.0,13.856406460551018,0.2,0.8,35.0,30
AR0216,C049,2025-04-17,347950,4.0,4.5,1.4142135623730951,0.0,1.0,52.0,3
AR0603,C034,2025-04-17,314066,9.0,9.0,0.0,0.0,1.0,48.0,13
AR0552,C042,2025-04-18,422107,12.25,12.5,2.5,0.0,1.0,31.0,14
AR0025,C028,2025-04-19,302746,11.4,11.0,1.8165902124584947,0.0,1.0,40.0,11
AR0138,C046,2025-04-20,53674,3.0,3.0,1.0,0.0,1.0,14.0,5
AR0066,C035,2025-04-20,285229,11.25,11.5,2.0615528128088303,0.0,1.0,33.0,12
AR0570,C016,2025-04-21,325840,3.5,3.5,1.378404875209022,0.0,1.0,8.0,4
AR0357,C047,2025-04-21,245480,12.714285714285714,12.0,2.1380899352993947,0.0,1.0,26.0,15
AR0052,C019,2025-04-22,50662,16.0,23.0,17.578395831246947,0.3333333333333333,0.6666666666666667,49.0,29
AR0668,C001,2025-04-22,323201,-1.0,-1.0,0.0,1.0,0.0,7.0,-2
AR0145,C032,2025-04-23,163096,0.6666666666666666,0.0,1.1547005383792517,0.6666666666666666,0.33333333333333337,94.0,1
AR0030,C038,2025-04-23,23770,1.25,1.5,0.9574271077563382,0.25,0.75,33.0,-2
AR0347,C033,2025-04-24,342493,11.666666666666666,12.0,3.5118845842842465,0.0,1.0,59.0,8
AR0092,C031,2025-04-24,124633,21.6,21.0,4.878524367060187,0.0,1.0,14.0,24
AR0677,C047,2025-04-25,457686,13.0,13.0,2.1380899352993947,0.0,1.0,4.0,8
AR0212,C040,2025-04-26,426686,-0.16666666666666666,-0.5,1.169045194450012,0.8333333333333334,0.16666666666666663,36.0,2
AR0028,C016,2025-04-26,53568,3.5714285714285716,4.0,1.2724180205607034,0.0,1.0,5.0,4
AR0372,C037,2025-04-26,443216,17.5,22.0,13.82389236069205,0.16666666666666666,0.8333333333333334,10.0,22
AR0680,C025,2025-04-28,149767,10.0,10.0,0.0,0.0,1.0,39.0,15
AR0300,C050,2025-04-28,338276,-1.3333333333333333,-2.0,1.1547005383792517,1.0,0.0,34.0,0
AR0221,C003,2025-04-29,171049,12.25,12.0,2.0615528128088303,0.0,1.0,89.0,12
AR0195,C017,2025-04-29,83258,14.0,14.0,9.899494936611665,0.0,1.0,92.0,7
AR0621,C041,2025-04-30,47520,8.0,8.0,0.0,0.0,1.0,70.0,9
AR0330,C029,2025-05-01,468502,0.4,0.0,0.5477225575051661,0.6,0.4,35.0,0
AR0514,C005,2025-05-01,428166,2.7142857142857144,2.0,0.951189731211342,0.0,1.0,48.0,4
AR0118,C006,2025-05-01,372738,4.0,4.0,0.0,0.0,1.0,97.0,4
AR0057,C044,2025-05-01,231694,1.6666666666666667,2.0,0.5773502691896257,0.0,1.0,31.0,-2
AR0046,C006,2025-05-02,107194,4.0,4.0,0.0,0.0,1.0,1.0,5
AR0020,C020,2025-05-03,50369,11.333333333333334,12.0,2.0816659994661326,0.0,1.0,30.0,11
AR0265,C045,2025-05-03,319786,0.0,0.5,1.4142135623730951,0.5,0.5,51.0,1
AR0186,C006,2025-05-04,397526,4.333333333333333,4.0,0.5773502691896258,0.0,1.0,2.0,5
AR0562,C021,2025-05-04,264565,1.4,2.0,0.8944271909999159,0.2,0.8,35.0,-2
AR0123,C026,2025-05-05,97369,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,2
AR0620,C016,2025-05-05,46615,3.625,4.0,1.1877349391654208,0.0,1.0,9.0,3
AR0555,C031,2025-05-06,441888,22.0,22.0,4.47213595499958,0.0,1.0,12.0,20
AR0284,C010,2025-05-06,298484,-0.3333333333333333,-1.0,2.0816659994661326,0.6666666666666666,0.33333333333333337,49.0,1
AR0120,C003,2025-05-06,269108,12.2,12.0,1.7888543819998317,0.0,1.0,7.0,9
AR0656,C049,2025-05-07,376695,3.8333333333333335,4.0,1.1690451944500122,0.0,1.0,0.0,2
AR0132,C049,2025-05-07,460330,3.8,4.0,1.3038404810405297,0.0,1.0,20.0,4
AR0002,C009,2025-05-07,410588,17.875,18.0,7.918107638282556,0.0,1.0,47.0,30
AR0430,C003,2025-05-07,390997,11.666666666666666,12.0,2.065591117977289,0.0,1.0,1.0,15
AR0058,C037,2025-05-07,323520,18.142857142857142,22.0,12.733532783279632,0.14285714285714285,0.8571428571428572,11.0,-3
AR0041,C007,2025-05-08,120448,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,28.0,-1
AR0090,C043,2025-05-08,159883,4.0,4.0,1.0,0.0,1.0,74.0,3
AR0545,C006,2025-05-09,122918,4.5,4.5,0.5773502691896258,0.0,1.0,5.0,4
AR0436,C019,2025-05-10,399444,19.25,26.0,15.75595125658873,0.25,0.75,18.0,4
AR0485,C024,2025-05-10,411809,11.4,12.0,3.2863353450309964,0.0,1.0,38.0,8
AR0616,C042,2025-05-12,411820,12.6,13.0,2.3021728866442674,0.0,1.0,24.0,15
AR0309,C011,2025-05-12,499224,0.0,0.0,1.8257418583505538,0.5,0.5,42.0,1
AR0473,C002,2025-05-12,133065,0.4,0.0,1.6733200530681511,0.6,0.4,39.0,-1
AR0644,C001,2025-05-14,221103,-1.25,-1.0,0.5,1.0,0.0,22.0,-1
AR0079,C041,2025-05-15,104715,8.5,8.5,0.7071067811865476,0.0,1.0,15.0,15
AR0522,C008,2025-05-15,426304,1.3333333333333333,1.0,0.5773502691896258,0.0,1.0,85.0,0
AR0003,C035,2025-05-15,411650,11.4,12.0,1.816590212458495,0.0,1.0,25.0,14
AR0014,C001,2025-05-15,282451,-1.2,-1.0,0.4472135954999579,1.0,0.0,1.0,-1
AR0049,C025,2025-05-16,431078,11.666666666666666,10.0,2.886751345948129,0.0,1.0,18.0,15
AR0072,C009,2025-05-16,80517,19.22222222222222,18.0,8.437680039231426,0.0,1.0,9.0,1
AR0062,C016,2025-05-16,227505,3.5555555555555554,4.0,1.130388330520878,0.0,1.0,11.0,3
AR0024,C011,2025-05-16,296653,0.2,1.0,1.6431676725154984,0.4,0.6,4.0,2
AR0314,C001,2025-05-16,301318,-1.1666666666666667,-1.0,0.408248290463863,1.0,0.0,1.0,-2
AR0645,C029,2025-05-17,192818,0.3333333333333333,0.0,0.5163977794943222,0.6666666666666666,0.33333333333333337,16.0,0
AR0386,C027,2025-05-20,133020,4.25,4.5,0.9574271077563382,0.0,1.0,62.0,2
AR0135,C016,2025-05-20,196080,3.5,3.5,1.0801234497346435,0.0,1.0,4.0,4
AR0692,C020,2025-05-21,51959,11.25,11.5,1.707825127659933,0.0,1.0,18.0,10
AR0259,C005,2025-05-22,425104,2.875,2.5,0.991031208965115,0.0,1.0,21.0,5
AR0180,C006,2025-05-23,482228,4.4,4.0,0.5477225575051663,0.0,1.0,14.0,5
AR0096,C050,2025-05-23,204101,-1.0,-1.0,1.1547005383792515,1.0,0.0,25.0,2
AR0043,C012,2025-05-23,262550,-0.5,-0.5,1.7320508075688772,0.5,0.5,73.0,-1
AR0457,C030,2025-05-25,427961,0.3333333333333333,0.5,1.2110601416389968,0.5,0.5,40.0,1
AR0462,C008,2025-05-26,63974,1.0,1.0,0.816496580927726,0.25,0.75,11.0,-1
AR0113,C020,2025-05-27,130196,11.0,11.0,1.5811388300841895,0.0,1.0,6.0,14
AR0578,C036,2025-05-28,58551,0.0,0.0,1.8257418583505538,0.5,0.5,80.0,1
AR0475,C008,2025-05-28,144591,0.6,1.0,1.140175425099138,0.4,0.6,2.0,0
AR0609,C020,2025-05-28,389571,11.5,11.5,1.8708286933869707,0.0,1.0,1.0,11
AR0626,C049,2025-05-28,188384,3.5714285714285716,4.0,1.2724180205607034,0.0,1.0,21.0,4
AR0631,C012,2025-05-29,479665,-0.6,-1.0,1.51657508881031,0.6,0.4,6.0,-2
AR0255,C032,2025-05-30,286795,0.75,0.5,0.9574271077563382,0.5,0.5,37.0,0
AR0493,C003,2025-05-31,125691,12.142857142857142,12.0,2.2677868380553634,0.0,1.0,24.0,8
AR0297,C045,2025-06-01,36227,0.0,0.5,1.2649110640673518,0.5,0.5,0.0,1
AR0109,C045,2025-06-01,357271,0.2,1.0,1.3038404810405297,0.4,0.6,29.0,-1
AR0506,C043,2025-06-01,207795,3.75,3.5,0.9574271077563381,0.0,1.0,24.0,5
