forecast_date,current_projected_cash,cash_after_30_days,cash_after_60_days,cash_after_90_days
2025-05-01,45182424.0,50333173.0,61270461.0,73140881.0
2025-05-02,45991556.0,50498366.0,61852343.0,73754797.0
2025-05-03,46591933.0,51105424.0,61972050.0,74447563.0
2025-05-04,46694672.0,51296796.0,62730694.0,74252898.0
2025-05-05,46097683.0,52800866.0,62526675.0,74252898.0
2025-05-06,46097683.0,52518363.0,62669789.0,75285018.0
2025-05-07,45815126.0,52751947.0,62816734.0,76265977.0
2025-05-08,46574434.0,53244927.0,63162050.0,76186135.0
2025-05-09,47279519.0,52920378.0,63324666.0,76046178.0
2025-05-10,47306903.0,53091427.0,63716145.0,76226521.0
2025-05-11,47862786.0,54592440.0,64204051.0,76174278.0
2025-05-12,47310576.0,54742207.0,64638280.0,77329749.0
2025-05-13,47394622.0,55508117.0,64711858.0,78150095.0
2025-05-14,47572652.0,55971225.0,65032887.0,78244578.0
2025-05-15,47322764.0,57492032.0,65480039.0,78580330.0
2025-05-16,47710453.0,56767879.0,66195794.0,79798552.0
2025-05-17,47539986.0,57202150.0,66195794.0,79698495.0
2025-05-18,47542781.0,57202150.0,66622764.0,79037863.0
2025-05-19,47542781.0,57096711.0,67834937.0,78946978.0
2025-05-20,47890731.0,57248796.0,68327691.0,78581405.0
2025-05-21,48213932.0,57639793.0,69659471.0,78963023.0
2025-05-22,48129581.0,57505533.0,70345173.0,79144219.0
2025-05-23,47870282.0,57614795.0,71453332.0,79130090.0
2025-05-24,48033378.0,58014976.0,71757676.0,79290648.0
2025-05-25,48412892.0,57998008.0,72107832.0,79585355.0
2025-05-26,48412892.0,59326867.0,71925346.0,80374566.0
2025-05-27,48839578.0,59755267.0,72282797.0,81325455.0
2025-05-28,49206139.0,60849724.0,72181869.0,81560987.0
2025-05-29,48918364.0,60641980.0,72639503.0,81978884.0
2025-05-30,49702548.0,61286984.0,72827233.0,81978884.0
2025-05-31,50333173.0,61270461.0,73140881.0,82686090.0
2025-06-01,50498366.0,61852343.0,73754797.0,83219837.0
2025-06-02,51105424.0,61972050.0,74447563.0,83189016.0
2025-06-03,51296796.0,62730694.0,74252898.0,83419333.0
2025-06-04,52800866.0,62526675.0,74252898.0,84424119.0
2025-06-05,52518363.0,62669789.0,75285018.0,85263437.0
2025-06-06,52751947.0,62816734.0,76265977.0,85570713.0
2025-06-07,53244927.0,63162050.0,76186135.0,86018220.0
2025-06-08,52920378.0,63324666.0,76046178.0,86672879.0
2025-06-09,53091427.0,63716145.0,76226521.0,86571132.0
2025-06-10,54592440.0,64204051.0,76174278.0,86863630.0
2025-06-11,54742207.0,64638280.0,77329749.0,87361250.0
2025-06-12,55508117.0,64711858.0,78150095.0,87361250.0
2025-06-13,55971225.0,65032887.0,78244578.0,87246898.0
2025-06-14,57492032.0,65480039.0,78580330.0,87376102.0
2025-06-15,56767879.0,66195794.0,79798552.0,87899651.0
2025-06-16,57202150.0,66195794.0,79698495.0,89079054.0
2025-06-17,57202150.0,66622764.0,79037863.0,89079054.0
2025-06-18,57096711.0,67834937.0,78946978.0,89569449.0
2025-06-19,57248796.0,68327691.0,78581405.0,90636931.0
2025-06-20,57639793.0,69659471.0,78963023.0,91240692.0
2025-06-21,57505533.0,70345173.0,79144219.0,91190646.0
2025-06-22,57614795.0,71453332.0,79130090.0,91542498.0
2025-06-23,58014976.0,71757676.0,79290648.0,91677322.0
2025-06-24,57998008.0,72107832.0,79585355.0,91879201.0
2025-06-25,59326867.0,71925346.0,80374566.0,91346555.0
2025-06-26,59755267.0,72282797.0,81325455.0,92148706.0
2025-06-27,60849724.0,72181869.0,81560987.0,92131354.0
2025-06-28,60641980.0,72639503.0,81978884.0,92655740.0
2025-06-29,61286984.0,72827233.0,81978884.0,93135232.0
2025-06-30,61270461.0,73140881.0,82686090.0,93729435.0
2025-07-01,61852343.0,73754797.0,83219837.0,93729435.0
2025-07-02,61972050.0,74447563.0,83189016.0,94620720.0
2025-07-03,62730694.0,74252898.0,83419333.0,95801139.0
2025-07-04,62526675.0,74252898.0,84424119.0,97361318.0
2025-07-05,62669789.0,75285018.0,85263437.0,97403524.0
2025-07-06,62816734.0,76265977.0,85570713.0,98634623.0
2025-07-07,63162050.0,76186135.0,86018220.0,98980093.0
2025-07-08,63324666.0,76046178.0,86672879.0,99256491.0
2025-07-09,63716145.0,76226521.0,86571132.0,99904164.0
2025-07-10,64204051.0,76174278.0,86863630.0,100829585.0
2025-07-11,64638280.0,77329749.0,87361250.0,101468871.0
2025-07-12,64711858.0,78150095.0,87361250.0,101468871.0
2025-07-13,65032887.0,78244578.0,87246898.0,101721225.0
2025-07-14,65480039.0,78580330.0,87376102.0,102277938.0
2025-07-15,66195794.0,79798552.0,87899651.0,102277938.0
2025-07-16,66195794.0,79698495.0,89079054.0,102678016.0
2025-07-17,66622764.0,79037863.0,89079054.0,103278916.0
2025-07-18,67834937.0,78946978.0,89569449.0,103827901.0
2025-07-19,68327691.0,78581405.0,90636931.0,104441752.0
2025-07-20,69659471.0,78963023.0,91240692.0,104441752.0
2025-07-21,70345173.0,79144219.0,91190646.0,106116271.0
2025-07-22,71453332.0,79130090.0,91542498.0,106853528.0
2025-07-23,71757676.0,79290648.0,91677322.0,107148742.0
2025-07-24,72107832.0,79585355.0,91879201.0,107267369.0
2025-07-25,71925346.0,80374566.0,91346555.0,107459864.0
2025-07-26,72282797.0,81325455.0,92148706.0,108061423.0
2025-07-27,72181869.0,81560987.0,92131354.0,108479564.0
2025-07-28,72639503.0,81978884.0,92655740.0,108743038.0
2025-07-29,72827233.0,81978884.0,93135232.0,109726639.0
2025-07-30,73140881.0,82686090.0,93729435.0,110571522.0
2025-07-31,73754797.0,83219837.0,93729435.0,110593781.0
2025-08-01,74447563.0,83189016.0,94620720.0,110593781.0
2025-08-02,74252898.0,83419333.0,95801139.0,111702924.0
2025-08-03,74252898.0,84424119.0,97361318.0,112894623.0
2025-08-04,75285018.0,85263437.0,97403524.0,113982674.0
2025-08-05,76265977.0,85570713.0,98634623.0,114424489.0
2025-08-06,76186135.0,86018220.0,98980093.0,114760665.0
2025-08-07,76046178.0,86672879.0,99256491.0,116546056.0
2025-08-08,76226521.0,86571132.0,99904164.0,116546056.0
2025-08-09,76174278.0,86863630.0,100829585.0,116950308.0
2025-08-10,77329749.0,87361250.0,101468871.0,117471051.0
2025-08-11,78150095.0,87361250.0,101468871.0,118379771.0
2025-08-12,78244578.0,87246898.0,101721225.0,118903775.0
2025-08-13,78580330.0,87376102.0,102277938.0,119917126.0
2025-08-14,79798552.0,87899651.0,102277938.0,119917126.0
2025-08-15,79698495.0,89079054.0,102678016.0,120594796.0
2025-08-16,79037863.0,89079054.0,103278916.0,120688939.0
2025-08-17,78946978.0,89569449.0,103827901.0,121580802.0
2025-08-18,78581405.0,90636931.0,104441752.0,122078522.0
2025-08-19,78963023.0,91240692.0,104441752.0,123240227.0
2025-08-20,79144219.0,91190646.0,106116271.0,122798034.0
2025-08-21,79130090.0,91542498.0,106853528.0,123725306.0
2025-08-22,79290648.0,91677322.0,107148742.0,124497329.0
2025-08-23,79585355.0,91879201.0,107267369.0,124568304.0
2025-08-24,80374566.0,91346555.0,107459864.0,125404393.0
2025-08-25,81325455.0,92148706.0,108061423.0,125404393.0
2025-08-26,81560987.0,92131354.0,108479564.0,125700305.0
2025-08-27,81978884.0,92655740.0,108743038.0,127140828.0
2025-08-28,81978884.0,93135232.0,109726639.0,128157881.0
2025-08-29,82686090.0,93729435.0,110571522.0,128157881.0
2025-08-30,83219837.0,93729435.0,110593781.0,128545742.0
2025-08-31,83189016.0,94620720.0,110593781.0,129181711.0
2025-09-01,83419333.0,95801139.0,111702924.0,130069446.0
2025-09-02,84424119.0,97361318.0,112894623.0,130919181.0
2025-09-03,85263437.0,97403524.0,113982674.0,131557308.0
2025-09-04,85570713.0,98634623.0,114424489.0,132088627.0
2025-09-05,86018220.0,98980093.0,114760665.0,133546745.0
2025-09-06,86672879.0,99256491.0,116546056.0,133282460.0
2025-09-07,86571132.0,99904164.0,116546056.0,134132685.0
2025-09-08,86863630.0,100829585.0,116950308.0,134785741.0
2025-09-09,87361250.0,101468871.0,117471051.0,135920865.0
2025-09-10,87361250.0,101468871.0,118379771.0,136768228.0
2025-09-11,87246898.0,101721225.0,118903775.0,137919386.0
2025-09-12,87376102.0,102277938.0,119917126.0,138286183.0
2025-09-13,87899651.0,102277938.0,119917126.0,138924358.0
2025-09-14,89079054.0,102678016.0,120594796.0,139455330.0
2025-09-15,89079054.0,103278916.0,120688939.0,139954591.0
2025-09-16,89569449.0,103827901.0,121580802.0,140291820.0
2025-09-17,90636931.0,104441752.0,122078522.0,141399142.0
2025-09-18,91240692.0,104441752.0,123240227.0,141727744.0
2025-09-19,91190646.0,106116271.0,122798034.0,142467029.0
2025-09-20,91542498.0,106853528.0,123725306.0,144222671.0
2025-09-21,91677322.0,107148742.0,124497329.0,144599937.0
2025-09-22,91879201.0,107267369.0,124568304.0,144257109.0
2025-09-23,91346555.0,107459864.0,125404393.0,144257109.0
2025-09-24,92148706.0,108061423.0,125404393.0,144456213.0
2025-09-25,92131354.0,108479564.0,125700305.0,145251256.0
2025-09-26,92655740.0,108743038.0,127140828.0,146315412.0
2025-09-27,93135232.0,109726639.0,128157881.0,146357859.0
2025-09-28,93729435.0,110571522.0,128157881.0,146357859.0
2025-09-29,93729435.0,110593781.0,128545742.0,146424910.0
2025-09-30,94620720.0,110593781.0,129181711.0,147198343.0
2025-10-01,95801139.0,111702924.0,130069446.0,148172356.0
2025-10-02,97361318.0,112894623.0,130919181.0,148588430.0
2025-10-03,97403524.0,113982674.0,131557308.0,149851907.0
2025-10-04,98634623.0,114424489.0,132088627.0,149851907.0
2025-10-05,98980093.0,114760665.0,133546745.0,150860590.0
2025-10-06,99256491.0,116546056.0,133282460.0,150553060.0
2025-10-07,99904164.0,116546056.0,134132685.0,150399864.0
2025-10-08,100829585.0,116950308.0,134785741.0,150399864.0
2025-10-09,101468871.0,117471051.0,135920865.0,149866038.0
2025-10-10,101468871.0,118379771.0,136768228.0,150124611.0
2025-10-11,101721225.0,118903775.0,137919386.0,150295176.0
2025-10-12,102277938.0,119917126.0,138286183.0,150871148.0
2025-10-13,102277938.0,119917126.0,138924358.0,151419368.0
2025-10-14,102678016.0,120594796.0,139455330.0,151717644.0
2025-10-15,103278916.0,120688939.0,139954591.0,152490923.0
2025-10-16,103827901.0,121580802.0,140291820.0,152541117.0
2025-10-17,104441752.0,122078522.0,141399142.0,153362632.0
2025-10-18,104441752.0,123240227.0,141727744.0,154487559.0
2025-10-19,106116271.0,122798034.0,142467029.0,154956176.0
2025-10-20,106853528.0,123725306.0,144222671.0,156964141.0
2025-10-21,107148742.0,124497329.0,144599937.0,156932968.0
2025-10-22,107267369.0,124568304.0,144257109.0,157046910.0
2025-10-23,107459864.0,125404393.0,144257109.0,157046910.0
2025-10-24,108061423.0,125404393.0,144456213.0,157594812.0
2025-10-25,108479564.0,125700305.0,145251256.0,157722113.0
2025-10-26,108743038.0,127140828.0,146315412.0,158543192.0
2025-10-27,109726639.0,128157881.0,146357859.0,159123914.0
2025-10-28,110571522.0,128157881.0,146357859.0,159394632.0
2025-10-29,110593781.0,128545742.0,146424910.0,160152469.0
2025-10-30,110593781.0,129181711.0,147198343.0,160685030.0
2025-10-31,111702924.0,130069446.0,148172356.0,160791770.0
2025-11-01,112894623.0,130919181.0,148588430.0,161155171.0
2025-11-02,113982674.0,131557308.0,149851907.0,161664790.0
2025-11-03,114424489.0,132088627.0,149851907.0,161772593.0
2025-11-04,114760665.0,133546745.0,150860590.0,161772593.0
2025-11-05,116546056.0,133282460.0,150553060.0,161451218.0
2025-11-06,116546056.0,134132685.0,150399864.0,161451218.0
2025-11-07,116950308.0,134785741.0,150399864.0,161451218.0
2025-11-08,117471051.0,135920865.0,149866038.0,161198522.0
2025-11-09,118379771.0,136768228.0,150124611.0,160804822.0
2025-11-10,118903775.0,137919386.0,150295176.0,160871824.0
2025-11-11,119917126.0,138286183.0,150871148.0,160871824.0
2025-11-12,119917126.0,138924358.0,151419368.0,160806297.0
2025-11-13,120594796.0,139455330.0,151717644.0,
2025-11-14,120688939.0,139954591.0,152490923.0,
2025-11-15,121580802.0,140291820.0,152541117.0,
2025-11-16,122078522.0,141399142.0,153362632.0,
2025-11-17,123240227.0,141727744.0,154487559.0,
2025-11-18,122798034.0,142467029.0,154956176.0,
2025-11-19,123725306.0,144222671.0,156964141.0,
2025-11-20,124497329.0,144599937.0,156932968.0,
2025-11-21,124568304.0,144257109.0,157046910.0,
2025-11-22,125404393.0,144257109.0,157046910.0,
2025-11-23,125404393.0,144456213.0,157594812.0,
2025-11-24,125700305.0,145251256.0,157722113.0,
2025-11-25,127140828.0,146315412.0,158543192.0,
2025-11-26,128157881.0,146357859.0,159123914.0,
2025-11-27,128157881.0,146357859.0,159394632.0,
2025-11-28,128545742.0,146424910.0,160152469.0,
2025-11-29,129181711.0,147198343.0,160685030.0,
2025-11-30,130069446.0,148172356.0,160791770.0,
2025-12-01,130919181.0,148588430.0,161155171.0,
2025-12-02,131557308.0,149851907.0,161664790.0,
2025-12-03,132088627.0,149851907.0,161772593.0,
2025-12-04,133546745.0,150860590.0,161772593.0,
2025-12-05,133282460.0,150553060.0,161451218.0,
2025-12-06,134132685.0,150399864.0,161451218.0,
2025-12-07,134785741.0,150399864.0,161451218.0,
2025-12-08,135920865.0,149866038.0,161198522.0,
2025-12-09,136768228.0,150124611.0,160804822.0,
2025-12-10,137919386.0,150295176.0,160871824.0,
2025-12-11,138286183.0,150871148.0,160871824.0,
2025-12-12,138924358.0,151419368.0,160806297.0,
2025-12-13,139455330.0,151717644.0,,
2025-12-14,139954591.0,152490923.0,,
2025-12-15,140291820.0,152541117.0,,
2025-12-16,141399142.0,153362632.0,,
2025-12-17,141727744.0,154487559.0,,
2025-12-18,142467029.0,154956176.0,,
2025-12-19,144222671.0,156964141.0,,
2025-12-20,144599937.0,156932968.0,,
2025-12-21,144257109.0,157046910.0,,
2025-12-22,144257109.0,157046910.0,,
2025-12-23,144456213.0,157594812.0,,
2025-12-24,145251256.0,157722113.0,,
2025-12-25,146315412.0,158543192.0,,
2025-12-26,146357859.0,159123914.0,,
2025-12-27,146357859.0,159394632.0,,
2025-12-28,146424910.0,160152469.0,,
2025-12-29,147198343.0,160685030.0,,
2025-12-30,148172356.0,160791770.0,,
2025-12-31,148588430.0,161155171.0,,
2026-01-01,149851907.0,161664790.0,,
2026-01-02,149851907.0,161772593.0,,
2026-01-03,150860590.0,161772593.0,,
2026-01-04,150553060.0,161451218.0,,
2026-01-05,150399864.0,161451218.0,,
2026-01-06,150399864.0,161451218.0,,
2026-01-07,149866038.0,161198522.0,,
2026-01-08,150124611.0,160804822.0,,
2026-01-09,150295176.0,160871824.0,,
2026-01-10,150871148.0,160871824.0,,
2026-01-11,151419368.0,160806297.0,,
2026-01-12,151717644.0,,,
2026-01-13,152490923.0,,,
2026-01-14,152541117.0,,,
2026-01-15,153362632.0,,,
2026-01-16,154487559.0,,,
2026-01-17,154956176.0,,,
2026-01-18,156964141.0,,,
2026-01-19,156932968.0,,,
2026-01-20,157046910.0,,,
2026-01-21,157046910.0,,,
2026-01-22,157594812.0,,,
2026-01-23,157722113.0,,,
2026-01-24,158543192.0,,,
2026-01-25,159123914.0,,,
2026-01-26,159394632.0,,,
2026-01-27,160152469.0,,,
2026-01-28,160685030.0,,,
2026-01-29,160791770.0,,,
2026-01-30,161155171.0,,,
2026-01-31,161664790.0,,,
2026-02-01,161772593.0,,,
2026-02-02,161772593.0,,,
2026-02-03,161451218.0,,,
2026-02-04,161451218.0,,,
2026-02-05,161451218.0,,,
2026-02-06,161198522.0,,,
2026-02-07,160804822.0,,,
2026-02-08,160871824.0,,,
2026-02-09,160871824.0,,,
2026-02-10,160806297.0,,,
