invoice_id,customer_id,amount,due_date,predicted_delay,predicted_payment_date,expected_inflow
AR0447,C007,487783,2025-10-17,1.54,2025-10-19,487783
AR0100,C007,322186,2025-12-02,0.64,2025-12-03,322186
AR0619,C007,530972,2025-12-12,0.56,2025-12-13,530972
AR0317,C007,185367,2026-01-11,0.08,2026-01-11,185367
AR0623,C007,551333,2026-01-14,-0.38,2026-01-14,551333
AR0331,C007,276365,2026-01-17,-0.66,2026-01-16,276365
AR0168,C007,552502,2026-01-22,-0.06,2026-01-22,552502
AR0356,C007,103980,2026-01-25,-1.23,2026-01-24,103980
AR0476,C008,145010,2025-02-24,1.39,2025-02-25,145010
AR0207,C008,230086,2025-03-05,0.7,2025-03-06,230086
AR0323,C008,143102,2025-03-21,1.47,2025-03-22,143102
AR0522,C008,426304,2025-06-14,0.06,2025-06-14,426304
AR0462,C008,63974,2025-06-25,-0.43,2025-06-25,63974
AR0475,C008,144591,2025-06-27,-0.19,2025-06-27,144591
AR0127,C008,89908,2025-09-21,0.63,2025-09-22,89908
AR0254,C008,81586,2025-09-24,-0.52,2025-09-23,81586
AR0478,C008,382792,2025-10-13,1.66,2025-10-15,382792
AR0542,C008,115257,2025-10-23,0.14,2025-10-23,115257
AR0341,C009,207822,2025-02-07,11.8,2025-02-19,207822
AR0470,C009,170407,2025-02-19,21.06,2025-03-12,170407
AR0084,C009,181616,2025-02-21,18.56,2025-03-12,181616
AR0489,C009,204706,2025-02-22,24.82,2025-03-19,204706
AR0492,C009,395413,2025-03-04,20.0,2025-03-24,395413
AR0525,C009,257000,2025-03-09,6.69,2025-03-16,257000
AR0581,C009,226518,2025-03-21,17.36,2025-04-07,226518
AR0446,C009,69524,2025-04-20,14.54,2025-05-05,69524
AR0002,C009,410588,2025-06-06,26.13,2025-07-02,410588
AR0072,C009,80517,2025-06-15,7.41,2025-06-22,80517
AR0585,C009,507735,2025-07-20,21.48,2025-08-10,507735
AR0067,C009,554099,2025-07-28,7.44,2025-08-04,554099
AR0324,C009,257839,2025-08-17,16.51,2025-09-03,257839
AR0643,C009,218108,2025-10-02,13.38,2025-10-15,218108
AR0652,C009,115359,2025-10-02,14.98,2025-10-17,115359
AR0688,C009,197405,2025-10-15,12.28,2025-10-27,197405
AR0635,C009,305183,2025-10-16,15.84,2025-11-01,305183
AR0005,C009,320555,2025-10-18,6.66,2025-10-25,320555
AR0307,C009,623372,2025-11-03,16.68,2025-11-20,623372
AR0364,C009,66881,2025-11-11,20.76,2025-12-02,66881
AR0439,C009,509122,2025-12-01,15.58,2025-12-17,509122
AR0149,C009,390044,2025-12-15,17.02,2026-01-01,390044
AR0546,C009,232397,2025-12-17,14.68,2026-01-01,232397
AR0023,C009,349939,2026-01-03,17.17,2026-01-20,349939
AR0441,C009,505030,2026-01-09,14.08,2026-01-23,505030
AR0428,C010,256203,2025-03-03,0.4,2025-03-03,256203
AR0226,C010,51267,2025-03-08,-0.34,2025-03-08,51267
AR0209,C010,512062,2025-04-17,1.67,2025-04-19,512062
AR0284,C010,298484,2025-06-05,0.72,2025-06-06,298484
AR0559,C010,542415,2025-07-10,0.16,2025-07-10,542415
AR0017,C010,419775,2025-08-10,-0.46,2025-08-10,419775
AR0262,C010,302371,2025-09-16,0.86,2025-09-17,302371
AR0377,C010,474028,2025-11-16,1.0,2025-11-17,474028
AR0007,C010,135038,2025-12-18,0.12,2025-12-18,135038
AR0219,C011,234180,2025-02-01,2.24,2025-02-03,234180
AR0055,C011,286248,2025-03-01,-1.17,2025-02-28,286248
AR0543,C011,217542,2025-04-23,-0.81,2025-04-22,217542
AR0286,C011,70612,2025-04-30,0.92,2025-05-01,70612
AR0309,C011,499224,2025-06-11,0.72,2025-06-12,499224
AR0024,C011,296653,2025-06-15,1.18,2025-06-16,296653
AR0432,C011,215481,2025-08-05,-0.08,2025-08-05,215481
AR0557,C011,237905,2025-09-13,0.71,2025-09-14,237905
AR0596,C011,402258,2025-10-26,1.31,2025-10-27,402258
AR0163,C011,439883,2025-12-07,0.91,2025-12-08,439883
AR0529,C011,509619,2026-01-30,0.66,2026-01-31,509619
AR0206,C012,152371,2025-02-26,2.64,2025-03-01,152371
AR0056,C012,331969,2025-03-07,-1.27,2025-03-06,331969
AR0340,C012,366584,2025-03-28,-1.24,2025-03-27,366584
AR0672,C012,484741,2025-04-10,0.62,2025-04-11,484741
AR0043,C012,262550,2025-06-22,-0.7,2025-06-21,262550
AR0631,C012,479665,2025-06-28,-0.94,2025-06-27,479665
AR0088,C012,32995,2025-08-30,-0.62,2025-08-29,32995
AR0629,C012,482550,2025-09-01,-0.73,2025-08-31,482550
AR0183,C012,150892,2025-10-07,0.08,2025-10-07,150892
AR0697,C012,348738,2025-11-02,-0.7,2025-11-01,348738
AR0099,C012,206934,2025-11-24,0.86,2025-11-25,206934
AR0640,C012,609527,2025-12-09,0.76,2025-12-10,609527
AR0599,C013,251231,2025-02-09,2.8,2025-02-12,251231
AR0494,C013,185463,2025-02-21,4.0,2025-02-25,185463
AR0037,C013,70819,2025-03-20,4.66,2025-03-25,70819
AR0636,C013,193373,2025-03-29,3.4,2025-04-01,193373
AR0531,C013,165734,2025-04-12,4.8,2025-04-17,165734
AR0567,C013,323419,2025-04-22,4.46,2025-04-26,323419
AR0412,C013,386204,2025-04-29,3.22,2025-05-02,386204
AR0110,C013,368614,2025-09-03,4.69,2025-09-08,368614
AR0258,C013,372403,2025-12-03,4.04,2025-12-07,372403
AR0583,C013,373003,2025-12-05,3.94,2025-12-09,373003
AR0459,C013,120328,2025-12-06,3.8,2025-12-10,120328
AR0122,C013,287709,2026-01-22,4.16,2026-01-26,287709
AR0369,C014,418965,2025-04-20,4.82,2025-04-25,418965
AR0617,C014,454085,2025-05-14,3.84,2025-05-18,454085
AR0198,C014,189709,2025-10-05,3.74,2025-10-09,189709
AR0337,C014,173186,2025-11-27,3.41,2025-11-30,173186
AR0061,C014,514137,2026-01-08,3.16,2026-01-11,514137
AR0075,C014,458279,2026-01-17,3.31,2026-01-20,458279
AR0094,C015,366047,2025-02-12,4.46,2025-02-16,366047
AR0468,C015,187082,2025-02-14,-1.38,2025-02-13,187082
AR0279,C015,247526,2025-03-18,-1.11,2025-03-17,247526
AR0370,C015,203560,2025-03-27,1.19,2025-03-28,203560
AR0125,C015,441585,2025-05-01,0.85,2025-05-02,441585
AR0119,C015,97255,2025-05-12,-1.11,2025-05-11,97255
AR0698,C015,540037,2025-07-03,-0.41,2025-07-03,540037
AR0407,C015,492754,2025-07-20,-0.56,2025-07-19,492754
AR0137,C015,383829,2025-08-15,-0.86,2025-08-14,383829
AR0390,C015,334218,2025-08-21,-1.39,2025-08-20,334218
AR0190,C015,382695,2025-08-26,-0.86,2025-08-25,382695
AR0266,C015,42883,2025-08-29,-0.04,2025-08-29,42883
AR0358,C015,197697,2025-08-30,0.35,2025-08-30,197697
AR0455,C015,189010,2025-10-31,-0.3,2025-10-31,189010
AR0687,C015,174084,2025-11-03,-1.46,2025-11-02,174084
AR0301,C015,155587,2025-12-22,-0.55,2025-12-21,155587
AR0686,C016,230902,2025-02-22,5.15,2025-02-27,230902
AR0411,C016,96778,2025-03-24,3.84,2025-03-28,96778
AR0520,C016,33586,2025-03-30,3.3,2025-04-02,33586
AR0480,C016,198616,2025-04-14,4.7,2025-04-19,198616
AR0218,C016,355812,2025-04-29,2.98,2025-05-02,355812
AR0159,C016,459997,2025-05-13,2.86,2025-05-16,459997
AR0570,C016,325840,2025-05-21,3.98,2025-05-25,325840
AR0028,C016,53568,2025-05-26,4.04,2025-05-30,53568
AR0620,C016,46615,2025-06-04,3.48,2025-06-07,46615
AR0062,C016,227505,2025-06-15,3.3,2025-06-18,227505
AR0135,C016,196080,2025-06-19,3.87,2025-06-23,196080
AR0690,C016,551322,2025-07-04,3.24,2025-07-07,551322
AR0068,C016,169415,2025-08-08,3.26,2025-08-11,169415
AR0467,C016,62784,2025-08-16,4.07,2025-08-20,62784
AR0181,C016,318765,2025-09-25,4.51,2025-09-30,318765
AR0036,C016,443360,2025-09-30,4.11,2025-10-04,443360
AR0496,C017,414941,2025-02-18,7.16,2025-02-25,414941
AR0343,C017,86457,2025-02-26,20.43,2025-03-18,86457
AR0195,C017,83258,2025-05-29,9.18,2025-06-07,83258
AR0244,C017,92892,2025-07-15,17.96,2025-08-02,92892
AR0184,C017,191614,2025-07-24,12.09,2025-08-05,191614
AR0223,C017,427984,2025-12-17,12.06,2025-12-29,427984
AR0217,C017,81334,2026-01-04,13.24,2026-01-17,81334
AR0290,C017,32403,2026-01-07,18.55,2026-01-26,32403
AR0302,C017,540982,2026-01-13,12.38,2026-01-25,540982
AR0298,C018,316709,2025-02-04,1.3,2025-02-05,316709
AR0339,C018,101375,2025-04-15,3.14,2025-04-18,101375
AR0237,C018,326881,2025-05-03,4.69,2025-05-08,326881
AR0333,C018,84046,2025-05-08,4.57,2025-05-13,84046
AR0179,C018,536523,2025-07-15,3.18,2025-07-18,536523
AR0155,C018,152262,2025-09-03,2.56,2025-09-06,152262
AR0134,C018,60623,2025-09-13,4.07,2025-09-17,60623
AR0463,C018,494641,2025-09-18,3.57,2025-09-22,494641
AR0563,C018,149980,2025-09-18,3.86,2025-09-22,149980
AR0608,C018,229448,2025-11-12,3.12,2025-11-15,229448
AR0615,C019,201594,2025-03-12,18.36,2025-03-30,201594
AR0401,C019,232353,2025-03-30,4.07,2025-04-03,232353
AR0612,C019,368767,2025-04-03,26.18,2025-04-29,368767
AR0052,C019,50662,2025-05-22,23.96,2025-06-15,50662
AR0436,C019,399444,2025-06-09,4.62,2025-06-14,399444
AR0261,C019,527939,2025-07-02,18.1,2025-07-20,527939
AR0393,C019,95341,2025-07-17,1.2,2025-07-18,95341
AR0310,C019,507896,2025-07-23,9.23,2025-08-01,507896
AR0497,C019,472008,2025-08-01,4.86,2025-08-06,472008
AR0283,C019,216524,2025-08-02,18.58,2025-08-21,216524
AR0050,C019,385214,2025-09-04,23.51,2025-09-28,385214
AR0013,C019,102920,2025-09-10,17.38,2025-09-27,102920
AR0573,C019,31573,2025-11-01,6.88,2025-11-08,31573
AR0639,C019,485654,2025-11-17,8.54,2025-11-26,485654
AR0074,C019,169559,2025-12-06,12.94,2025-12-19,169559
AR0242,C019,298937,2026-01-05,12.74,2026-01-18,298937
AR0291,C019,398546,2026-01-12,15.25,2026-01-27,398546
AR0210,C020,150123,2025-03-15,6.15,2025-03-21,150123
AR0649,C020,267438,2025-04-22,12.48,2025-05-04,267438
AR0444,C020,132298,2025-05-03,13.12,2025-05-16,132298
AR0020,C020,50369,2025-06-02,11.48,2025-06-13,50369
AR0692,C020,51959,2025-06-20,10.45,2025-06-30,51959
AR0113,C020,130196,2025-06-26,12.85,2025-07-09,130196
AR0609,C020,389571,2025-06-27,11.4,2025-07-08,389571
AR0112,C020,307276,2025-08-26,8.98,2025-09-04,307276
AR0304,C020,37492,2025-09-13,12.63,2025-09-26,37492
AR0556,C020,58258,2025-09-20,9.87,2025-09-30,58258
AR0440,C020,282734,2025-11-13,12.64,2025-11-26,282734
AR0214,C020,318279,2025-11-28,11.56,2025-12-10,318279
AR0227,C020,536469,2025-12-01,11.27,2025-12-12,536469
AR0191,C020,422372,2026-01-05,12.6,2026-01-18,422372
AR0593,C020,454886,2026-01-18,10.99,2026-01-29,454886
AR0064,C021,24883,2025-03-09,0.34,2025-03-09,24883
AR0505,C021,61979,2025-03-24,0.28,2025-03-24,61979
AR0196,C021,470905,2025-04-02,1.34,2025-04-03,470905
AR0402,C021,506141,2025-04-28,1.65,2025-04-30,506141
AR0605,C021,300145,2025-04-29,0.98,2025-04-30,300145
AR0562,C021,264565,2025-06-03,-1.45,2025-06-02,264565
AR0154,C021,481968,2025-07-22,0.81,2025-07-23,481968
AR0306,C021,112085,2025-08-31,-0.75,2025-08-30,112085
AR0360,C021,183852,2025-09-06,0.02,2025-09-06,183852
AR0399,C021,318588,2025-11-21,0.84,2025-11-22,318588
AR0566,C021,517501,2025-11-22,-0.12,2025-11-22,517501
AR0427,C021,350175,2025-12-06,0.46,2025-12-06,350175
AR0319,C021,176878,2025-12-09,-0.55,2025-12-08,176878
AR0587,C021,243101,2025-12-10,-0.31,2025-12-10,243101
AR0417,C021,241471,2025-12-18,0.2,2025-12-18,241471
AR0182,C022,279158,2025-02-14,4.15,2025-02-18,279158
AR0437,C022,325523,2025-03-13,3.46,2025-03-16,325523
AR0429,C022,284528,2025-03-15,3.22,2025-03-18,284528
AR0338,C022,498497,2025-04-16,2.64,2025-04-19,498497
AR0501,C022,280153,2025-05-06,4.54,2025-05-11,280153
AR0376,C022,26681,2025-07-29,3.05,2025-08-01,26681
AR0241,C022,383684,2025-08-29,4.26,2025-09-02,383684
AR0260,C022,184086,2025-10-17,2.42,2025-10-19,184086
AR0606,C022,267472,2025-11-06,3.9,2025-11-10,267472
AR0582,C022,275187,2025-11-12,3.19,2025-11-15,275187
AR0274,C022,498128,2025-12-16,2.8,2025-12-19,498128
AR0490,C022,145336,2025-12-26,3.64,2025-12-30,145336
AR0486,C023,200775,2025-03-06,12.01,2025-03-18,200775
AR0368,C023,322995,2025-03-25,22.31,2025-04-16,322995
AR0539,C023,552348,2025-04-06,23.05,2025-04-29,552348
AR0681,C023,189196,2025-04-20,7.28,2025-04-27,189196
AR0093,C023,517726,2025-07-06,13.93,2025-07-20,517726
AR0438,C023,418555,2025-07-08,20.35,2025-07-28,418555
AR0263,C023,355767,2025-07-20,24.29,2025-08-13,355767
AR0239,C023,194749,2025-08-28,15.36,2025-09-12,194749
AR0038,C023,235535,2025-09-04,20.38,2025-09-24,235535
AR0387,C023,78138,2025-09-08,12.58,2025-09-21,78138
AR0508,C023,42206,2025-09-16,16.58,2025-10-03,42206
AR0544,C023,562577,2025-10-23,13.4,2025-11-05,562577
AR0410,C023,581508,2025-12-27,16.7,2026-01-13,581508
AR0576,C024,230020,2025-02-23,7.1,2025-03-02,230020
AR0313,C024,434545,2025-03-18,15.22,2025-04-02,434545
AR0371,C024,419824,2025-03-30,12.08,2025-04-11,419824
AR0361,C024,437105,2025-04-19,13.77,2025-05-03,437105
AR0200,C024,178475,2025-05-02,8.8,2025-05-11,178475
AR0485,C024,411809,2025-06-09,9.54,2025-06-19,411809
AR0381,C024,458072,2025-07-09,12.66,2025-07-22,458072
AR0517,C024,252752,2025-08-09,9.75,2025-08-19,252752
AR0673,C024,255162,2025-08-14,12.84,2025-08-27,255162
AR0515,C024,317399,2025-08-15,8.98,2025-08-24,317399
AR0105,C024,56686,2025-09-08,12.6,2025-09-21,56686
AR0499,C024,486347,2025-09-11,12.86,2025-09-24,486347
AR0533,C024,441350,2025-09-27,10.8,2025-10-08,441350
AR0530,C024,158202,2025-10-18,9.51,2025-10-28,158202
AR0511,C024,506005,2025-10-20,10.99,2025-10-31,506005
AR0502,C024,183813,2025-10-23,10.68,2025-11-03,183813
AR0651,C024,176524,2025-12-11,12.64,2025-12-24,176524
AR0174,C024,633674,2025-12-22,12.36,2026-01-03,633674
AR0453,C024,516451,2026-01-12,12.32,2026-01-24,516451
AR0674,C025,377947,2025-03-13,5.28,2025-03-18,377947
AR0450,C025,120823,2025-04-19,12.34,2025-05-01,120823
AR0680,C025,149767,2025-05-28,14.42,2025-06-11,149767
AR0049,C025,431078,2025-06-15,14.16,2025-06-29,431078
AR0153,C025,150615,2025-07-17,13.3,2025-07-30,150615
AR0613,C025,449065,2025-08-21,12.6,2025-09-03,449065
AR0433,C025,426042,2025-08-28,12.48,2025-09-09,426042
AR0213,C025,496317,2025-09-18,13.42,2025-10-01,496317
AR0264,C025,188704,2025-09-21,10.71,2025-10-02,188704
AR0484,C025,42824,2025-09-28,13.28,2025-10-11,42824
AR0395,C025,447264,2025-10-30,11.75,2025-11-11,447264
AR0102,C025,155552,2025-11-22,11.7,2025-12-04,155552
AR0141,C025,500050,2025-11-26,10.3,2025-12-06,500050
AR0354,C025,387613,2025-12-02,12.07,2025-12-14,387613
AR0287,C025,491606,2025-12-14,11.2,2025-12-25,491606
AR0268,C025,566074,2026-01-05,12.74,2026-01-18,566074
AR0123,C026,97369,2025-06-04,1.78,2025-06-06,97369
AR0406,C026,472668,2025-07-08,3.24,2025-07-11,472668
AR0519,C026,414639,2025-07-10,4.16,2025-07-14,414639
AR0095,C026,190978,2025-07-18,2.5,2025-07-21,190978
AR0359,C026,402527,2025-08-31,2.64,2025-09-03,402527
AR0535,C026,339957,2025-10-03,4.6,2025-10-08,339957
AR0150,C026,410673,2025-11-30,3.6,2025-12-04,410673
AR0588,C026,529900,2025-12-12,3.62,2025-12-16,529900
AR0642,C026,91011,2026-01-08,3.92,2026-01-12,91011
AR0097,C026,601017,2026-01-13,3.52,2026-01-17,601017
AR0400,C026,462303,2026-01-29,2.88,2026-02-01,462303
AR0246,C027,118347,2025-02-27,3.22,2025-03-02,118347
AR0140,C027,128440,2025-03-03,4.7,2025-03-08,128440
AR0696,C027,203811,2025-04-17,4.81,2025-04-22,203811
AR0600,C027,271986,2025-04-18,3.3,2025-04-21,271986
AR0386,C027,133020,2025-06-19,2.63,2025-06-22,133020
AR0139,C027,350156,2025-07-19,4.71,2025-07-24,350156
AR0622,C027,455517,2025-07-19,3.32,2025-07-22,455517
AR0366,C027,478021,2025-07-31,4.5,2025-08-04,478021
AR0380,C027,198727,2025-09-20,3.55,2025-09-24,198727
AR0256,C027,307715,2025-10-05,3.17,2025-10-08,307715
AR0173,C027,86631,2025-10-08,4.44,2025-10-12,86631
AR0601,C027,490254,2025-10-14,4.72,2025-10-19,490254
AR0144,C027,535486,2025-11-02,3.38,2025-11-05,535486
AR0700,C027,387228,2025-11-12,3.1,2025-11-15,387228
AR0398,C028,261043,2025-02-09,5.65,2025-02-15,261043
AR0464,C028,497366,2025-03-18,11.81,2025-03-30,497366
AR0404,C028,147567,2025-03-26,15.22,2025-04-10,147567
AR0224,C028,305507,2025-03-30,11.04,2025-04-10,305507
AR0574,C028,555059,2025-04-09,11.4,2025-04-20,555059
AR0025,C028,302746,2025-05-19,11.0,2025-05-30,302746
AR0541,C028,572096,2025-10-15,9.36,2025-10-24,572096
AR0641,C028,220717,2025-10-21,10.42,2025-10-31,220717
AR0193,C028,251457,2025-11-08,12.66,2025-11-21,251457
AR0171,C028,278570,2026-01-04,11.73,2026-01-16,278570
AR0189,C029,68786,2025-02-08,-0.06,2025-02-08,68786
AR0418,C029,265849,2025-03-06,0.49,2025-03-06,265849
AR0271,C029,295749,2025-03-23,0.56,2025-03-24,295749
AR0228,C029,305591,2025-04-04,0.2,2025-04-04,305591
AR0281,C029,441434,2025-04-26,0.22,2025-04-26,441434
AR0330,C029,468502,2025-05-31,0.44,2025-05-31,468502
AR0645,C029,192818,2025-06-16,0.28,2025-06-16,192818
AR0465,C029,39079,2025-07-28,0.39,2025-07-28,39079
AR0538,C029,376572,2025-09-26,1.32,2025-09-27,376572
AR0027,C029,295214,2025-10-22,-1.22,2025-10-21,295214
AR0431,C029,338180,2025-10-26,1.4,2025-10-27,338180
AR0069,C029,505514,2025-11-05,0.4,2025-11-05,505514
AR0426,C029,470275,2025-11-19,1.43,2025-11-20,470275
AR0685,C029,484032,2025-12-03,1.16,2025-12-04,484032
AR0454,C029,220199,2025-12-09,0.64,2025-12-10,220199
AR0472,C029,29578,2025-12-12,-0.45,2025-12-12,29578
AR0126,C030,312241,2025-02-25,-0.1,2025-02-25,312241
AR0699,C030,314852,2025-03-01,0.1,2025-03-01,314852
AR0311,C030,93797,2025-03-10,-0.76,2025-03-09,93797
AR0664,C030,332452,2025-04-08,0.68,2025-04-09,332452
AR0152,C030,46363,2025-05-04,0.01,2025-05-04,46363
AR0558,C030,198358,2025-05-15,1.33,2025-05-16,198358
AR0457,C030,427961,2025-06-24,1.04,2025-06-25,427961
AR0294,C030,143114,2025-07-04,0.74,2025-07-05,143114
AR0315,C030,372755,2025-08-07,0.51,2025-08-08,372755
AR0121,C030,484590,2025-08-31,1.72,2025-09-02,484590
AR0178,C030,452922,2025-09-11,1.68,2025-09-13,452922
AR0115,C030,251819,2025-09-14,-0.46,2025-09-14,251819
AR0355,C030,388030,2025-10-16,0.84,2025-10-17,388030
AR0257,C030,124584,2025-11-09,0.8,2025-11-10,124584
AR0665,C030,65351,2025-11-15,0.96,2025-11-16,65351
AR0425,C030,403807,2025-11-24,0.94,2025-11-25,403807
AR0289,C030,199104,2025-12-23,0.02,2025-12-23,199104
AR0349,C030,47230,2025-12-26,-0.37,2025-12-26,47230
AR0666,C030,575972,2026-01-10,0.14,2026-01-10,575972
AR0403,C030,272629,2026-01-19,0.12,2026-01-19,272629
AR0162,C030,200648,2026-01-24,0.06,2026-01-24,200648
AR0591,C031,213125,2025-02-08,12.46,2025-02-20,213125
AR0156,C031,412704,2025-02-09,23.09,2025-03-04,412704
AR0671,C031,170518,2025-02-16,17.3,2025-03-05,170518
AR0295,C031,144364,2025-03-26,18.52,2025-04-14,144364
AR0456,C031,212854,2025-05-10,18.1,2025-05-28,212854
AR0092,C031,124633,2025-05-24,21.02,2025-06-14,124633
AR0555,C031,441888,2025-06-05,19.2,2025-06-24,441888
AR0611,C031,360934,2025-07-28,14.43,2025-08-11,360934
AR0350,C031,243490,2025-08-24,7.6,2025-09-01,243490
AR0345,C031,427904,2025-09-17,18.23,2025-10-05,427904
AR0205,C031,288571,2025-10-03,16.23,2025-10-19,288571
AR0236,C031,415814,2025-10-23,20.58,2025-11-13,415814
AR0192,C031,387861,2025-11-10,18.32,2025-11-28,387861
AR0161,C031,103964,2026-01-08,17.38,2026-01-25,103964
AR0019,C032,78650,2025-02-09,0.28,2025-02-09,78650
AR0146,C032,223873,2025-02-14,-0.02,2025-02-14,223873
AR0269,C032,86189,2025-02-18,1.0,2025-02-19,86189
AR0145,C032,163096,2025-05-23,0.72,2025-05-24,163096
AR0255,C032,286795,2025-06-29,-0.04,2025-06-29,286795
AR0568,C032,322879,2025-07-07,-0.84,2025-07-06,322879
