date,lower_cash,base_cash,upper_cash
2025-03-29,25097924.0,28056076.0,31910264.0
2025-03-30,25464508.0,29897357.0,31702046.0
2025-03-31,26760564.0,30121542.0,32378693.0
2025-04-01,27204380.0,30483853.0,32527601.0
2025-04-02,28905884.0,30667056.0,33392287.0
2025-04-03,29457677.0,31370314.0,33457194.0
2025-04-04,29961518.0,31675905.0,34571057.0
2025-04-05,30429649.0,32540591.0,34785201.0
2025-04-06,30544080.0,32605498.0,35503129.0
2025-04-07,30520217.0,33719361.0,35628595.0
2025-04-08,31384903.0,33933505.0,36294000.0
2025-04-09,31449810.0,34511656.0,36045963.0
2025-04-10,32325574.0,34964730.0,36796678.0
2025-04-11,32539718.0,35771665.0,37139163.0
2025-04-12,32862456.0,35808556.0,37673852.0
2025-04-13,33315530.0,35970444.0,38950335.0
2025-04-14,34220095.0,35983475.0,39116069.0
2025-04-15,34051285.0,36518164.0,39384269.0
2025-04-16,34645513.0,37794647.0,40619402.0
2025-04-17,34987998.0,37722282.0,41251804.0
2025-04-18,35301170.0,37990482.0,41983002.0
2025-04-19,36426616.0,38970202.0,42404355.0
2025-04-20,36542705.0,39602604.0,42429536.0
2025-04-21,36810905.0,40431432.0,42100082.0
2025-04-22,38185815.0,40647084.0,43071634.0
2025-04-23,38494009.0,41104605.0,43836487.0
2025-04-24,38964107.0,41104605.0,43787584.0
2025-04-25,39010991.0,41854640.0,44039078.0
2025-04-26,39624999.0,42468456.0,45135712.0
2025-04-27,39413937.0,42608007.0,46064201.0
2025-04-28,39718976.0,42859501.0,46649749.0
2025-04-29,40483829.0,44351325.0,47627649.0
2025-04-30,40390468.0,44955606.0,48071539.0
2025-05-01,40641962.0,45182424.0,48385340.0
2025-05-02,42133786.0,45991556.0,48233347.0
2025-05-03,43062275.0,46591933.0,48082310.0
2025-05-04,43647823.0,46694672.0,48032665.0
2025-05-05,44279214.0,46097683.0,48791973.0
2025-05-06,44879591.0,46097683.0,49497058.0
2025-05-07,45193392.0,45815126.0,49200234.0
2025-05-08,45013028.0,46574434.0,49397387.0
2025-05-09,44610064.0,47279519.0,49022918.0
2025-05-10,44133612.0,47306903.0,49106964.0
2025-05-11,44441630.0,47862786.0,49073932.0
2025-05-12,45146715.0,47310576.0,48407419.0
2025-05-13,45174099.0,47394622.0,49198072.0
2025-05-14,45729982.0,47572652.0,49221500.0
2025-05-15,45621861.0,47322764.0,49675585.0
2025-05-16,45446608.0,47710453.0,49675585.0
2025-05-17,45624638.0,47539986.0,50023535.0
2025-05-18,45624638.0,47542781.0,50346736.0
2025-05-19,46415291.0,47542781.0,49818296.0
2025-05-20,46721276.0,47890731.0,49818296.0
2025-05-21,46990792.0,48213932.0,49981392.0
2025-05-22,46703017.0,48129581.0,50111018.0
2025-05-23,46933077.0,47870282.0,49708054.0
2025-05-24,46996294.0,48033378.0,49658288.0
2025-05-25,46900028.0,48412892.0,49758128.0
2025-05-26,46900028.0,48412892.0,49758128.0
2025-05-27,46934710.0,48839578.0,50660202.0
2025-05-28,47314224.0,49206139.0,51550811.0
2025-05-29,47031721.0,48918364.0,51727919.0
2025-05-30,47188944.0,49702548.0,52075678.0
2025-05-31,47529236.0,50333173.0,52395464.0
2025-06-01,47204687.0,50498366.0,53899534.0
2025-06-02,48106761.0,51105424.0,53899534.0
2025-06-03,48997370.0,51296796.0,54402581.0
2025-06-04,49282599.0,52800866.0,54921830.0
2025-06-05,49590209.0,52518363.0,54634055.0
2025-06-06,49819180.0,52751947.0,54687214.0
2025-06-07,51323250.0,53244927.0,55928243.0
2025-06-08,50548435.0,52920378.0,55957974.0
2025-06-09,50996282.0,53091427.0,57023332.0
2025-06-10,51700100.0,54592440.0,57448841.0
2025-06-11,51367156.0,54742207.0,58969648.0
2025-06-12,51278481.0,55508117.0,58737807.0
2025-06-13,52779494.0,55971225.0,58957815.0
2025-06-14,52532451.0,57492032.0,58746977.0
2025-06-15,53493534.0,56767879.0,58649933.0
2025-06-16,54047457.0,57202150.0,59061742.0
2025-06-17,55109408.0,57202150.0,59452739.0
2025-06-18,55160070.0,57096711.0,59715289.0
2025-06-19,55595713.0,57248796.0,59629378.0
2025-06-20,55595713.0,57639793.0,59938744.0
2025-06-21,55615474.0,57505533.0,60380632.0
2025-06-22,55954414.0,57614795.0,60934676.0
2025-06-23,56172214.0,58014976.0,61361704.0
2025-06-24,56434764.0,57998008.0,62456161.0
2025-06-25,56357420.0,59326867.0,62123217.0
2025-06-26,56610767.0,59755267.0,62581366.0
2025-06-27,56848636.0,60849724.0,62738040.0
2025-06-28,58177495.0,60641980.0,62923112.0
2025-06-29,58275994.0,61286984.0,63229425.0
2025-06-30,59164445.0,61270461.0,64134903.0
2025-07-01,58937490.0,61852343.0,63676047.0
2025-07-02,59493670.0,61972050.0,63819161.0
2025-07-03,59470144.0,62730694.0,64296007.0
2025-07-04,60013587.0,62526675.0,64847329.0
2025-07-05,60196355.0,62669789.0,65029156.0
2025-07-06,61101833.0,62816734.0,65509459.0
2025-07-07,61101833.0,63162050.0,66004368.0
2025-07-08,61244947.0,63324666.0,66477036.0
2025-07-09,61775621.0,63716145.0,66487553.0
2025-07-10,62326943.0,64204051.0,66661748.0
2025-07-11,62246324.0,64638280.0,66904881.0
2025-07-12,62799496.0,64711858.0,67620636.0
2025-07-13,63467602.0,65032887.0,67236907.0
2025-07-14,63940270.0,65480039.0,67457871.0
2025-07-15,64241668.0,66195794.0,68913279.0
2025-07-16,63806363.0,66195794.0,69244340.0
2025-07-17,64253515.0,66622764.0,70395920.0
2025-07-18,64786784.0,67834937.0,71043183.0
2025-07-19,64701410.0,68327691.0,71923522.0
2025-07-20,65027452.0,69659471.0,72984200.0
2025-07-21,66709815.0,70345173.0,73334356.0
2025-07-22,67202569.0,71453332.0,73334356.0
2025-07-23,68246579.0,71757676.0,73777181.0
2025-07-24,68932281.0,72107832.0,73777181.0
2025-07-25,70040440.0,71925346.0,73764625.0
2025-07-26,70813561.0,72282797.0,73952355.0
2025-07-27,71163717.0,72181869.0,74553773.0
2025-07-28,71163717.0,72639503.0,75167689.0
2025-07-29,71606542.0,72827233.0,75860455.0
2025-07-30,71054692.0,73140881.0,75197013.0
2025-07-31,71372369.0,73754797.0,75197013.0
2025-08-01,71273161.0,74447563.0,76046647.0
2025-08-02,71688425.0,74252898.0,76942232.0
2025-08-03,72302341.0,74252898.0,77313312.0
2025-08-04,72995107.0,75285018.0,77313312.0
2025-08-05,73029522.0,76265977.0,77780593.0
2025-08-06,72879367.0,76186135.0,77626734.0
2025-08-07,73911487.0,76046178.0,78782205.0
2025-08-08,74419278.0,76226521.0,79602551.0
2025-08-09,74201096.0,76174278.0,79467954.0
2025-08-10,74110211.0,77329749.0,79953861.0
2025-08-11,74211919.0,78150095.0,81172083.0
2025-08-12,74054216.0,78244578.0,81545194.0
2025-08-13,74993881.0,78580330.0,81022902.0
2025-08-14,75583574.0,79798552.0,80882945.0
2025-08-15,75687302.0,79698495.0,80596007.0
2025-08-16,76173209.0,79037863.0,81083085.0
2025-08-17,77391431.0,78946978.0,81480087.0
2025-08-18,77764542.0,78581405.0,81696611.0
2025-08-19,77794100.0,78963023.0,81847924.0
2025-08-20,77794100.0,79144219.0,81992476.0
2025-08-21,77794100.0,79130090.0,82781687.0
2025-08-22,78245201.0,79290648.0,83259408.0
2025-08-23,78568903.0,79585355.0,82804750.0
2025-08-24,78272056.0,80374566.0,83131762.0
2025-08-25,78127495.0,81325455.0,82766189.0
2025-08-26,78220829.0,81560987.0,83403912.0
2025-08-27,78739927.0,81978884.0,83795153.0
2025-08-28,79690816.0,81978884.0,84047050.0
2025-08-29,79926348.0,82686090.0,84582486.0
2025-08-30,80229672.0,83219837.0,85788645.0
2025-08-31,80015811.0,83189016.0,86898076.0
2025-09-01,80623915.0,83419333.0,87205352.0
2025-09-02,80909708.0,84424119.0,87652859.0
2025-09-03,81392258.0,85263437.0,88422091.0
2025-09-04,81824330.0,85570713.0,88534205.0
2025-09-05,82964944.0,86018220.0,88925805.0
2025-09-06,84074375.0,86672879.0,89671379.0
2025-09-07,84381651.0,86571132.0,89158008.0
2025-09-08,84829158.0,86863630.0,88841901.0
2025-09-09,85598390.0,87361250.0,88835277.0
2025-09-10,85589433.0,87361250.0,89088713.0
2025-09-11,86203164.0,87246898.0,90268116.0
2025-09-12,86905965.0,87376102.0,90268116.0
2025-09-13,86905965.0,87899651.0,90643938.0
2025-09-14,86944209.0,89079054.0,91618630.0
2025-09-15,86606308.0,89079054.0,91901158.0
2025-09-16,86515625.0,89569449.0,91645931.0
2025-09-17,87576570.0,90636931.0,91997783.0
2025-09-18,87370906.0,91240692.0,91980011.0
2025-09-19,87861301.0,91190646.0,92648995.0
2025-09-20,89049854.0,91542498.0,92730581.0
2025-09-21,89565690.0,91677322.0,93651190.0
2025-09-22,89631717.0,91879201.0,93839502.0
2025-09-23,89983569.0,91346555.0,94363888.0
2025-09-24,90118393.0,92148706.0,94722309.0
2025-09-25,90814072.0,92131354.0,95404437.0
2025-09-26,90895658.0,92655740.0,95288364.0
2025-09-27,91587898.0,93135232.0,96179649.0
2025-09-28,91403137.0,93729435.0,97360068.0
2025-09-29,91864095.0,93729435.0,98426447.0
2025-09-30,92343587.0,94620720.0,97854421.0
2025-10-01,92718421.0,95801139.0,99195431.0
2025-10-02,92718421.0,97361318.0,99708310.0
2025-10-03,93609706.0,97403524.0,100048136.0
2025-10-04,94447179.0,98634623.0,100695809.0
2025-10-05,96046208.0,98980093.0,101840599.0
2025-10-06,96088414.0,99256491.0,102479885.0
2025-10-07,97547882.0,99904164.0,102479885.0
2025-10-08,98266425.0,100829585.0,103075185.0
2025-10-09,98606251.0,101468871.0,103593048.0
2025-10-10,99045093.0,101468871.0,103593048.0
2025-10-11,100277808.0,101721225.0,103764757.0
2025-10-12,100731448.0,102277938.0,103992584.0
2025-10-13,100731448.0,102277938.0,104478141.0
2025-10-14,101326748.0,102678016.0,105300823.0
2025-10-15,101597298.0,103278916.0,104993529.0
2025-10-16,101281346.0,103827901.0,106853694.0
2025-10-17,101454562.0,104441752.0,107590951.0
2025-10-18,101986549.0,104441752.0,107543219.0
2025-10-19,102225239.0,106116271.0,107948009.0
2025-10-20,103047921.0,106853528.0,108456456.0
2025-10-21,102819292.0,107148742.0,109284877.0
2025-10-22,104545443.0,107267369.0,109771931.0
2025-10-23,105282700.0,107459864.0,110345700.0
2025-10-24,105346411.0,108061423.0,111120470.0
2025-10-25,105751201.0,108479564.0,112193982.0
2025-10-26,106259648.0,108743038.0,112164609.0
2025-10-27,106708618.0,109726639.0,112164609.0
2025-10-28,107195672.0,110571522.0,113505255.0
2025-10-29,107378637.0,110593781.0,114410791.0
2025-10-30,108362238.0,110593781.0,115182890.0
2025-10-31,109109747.0,111702924.0,115777294.0
2025-11-01,109266020.0,112894623.0,116044557.0
2025-11-02,109266020.0,113982674.0,117910457.0
2025-11-03,110606666.0,114424489.0,117910457.0
2025-11-04,111798365.0,114760665.0,118412083.0
2025-11-05,112886416.0,116546056.0,118798812.0
2025-11-06,113245347.0,116546056.0,119707532.0
2025-11-07,113581523.0,116950308.0,120000033.0
2025-11-08,115757718.0,117471051.0,121013384.0
2025-11-09,115757718.0,118379771.0,121013384.0
2025-11-10,116487973.0,118903775.0,121773938.0
2025-11-11,116464046.0,119917126.0,121868081.0
2025-11-12,117372766.0,119917126.0,122369140.0
2025-11-13,117541353.0,120594796.0,122866860.0
2025-11-14,118374222.0,120688939.0,123702562.0
2025-11-15,118374222.0,121580802.0,123805039.0
2025-11-16,119514227.0,122078522.0,124732311.0
2025-11-17,119246105.0,123240227.0,125859751.0
2025-11-18,120103936.0,122798034.0,126111208.0
2025-11-19,120256329.0,123725306.0,126947297.0
2025-11-20,121418034.0,124497329.0,126484962.0
2025-11-21,121520511.0,124568304.0,127143139.0
2025-11-22,122321043.0,125404393.0,128617694.0
2025-11-23,123448483.0,125404393.0,129980074.0
2025-11-24,123699940.0,125700305.0,129980074.0
2025-11-25,124445189.0,127140828.0,129823265.0
2025-11-26,124095928.0,128157881.0,130585974.0
2025-11-27,124586940.0,128157881.0,131118292.0
2025-11-28,125797210.0,128545742.0,131787545.0
2025-11-29,127159590.0,129181711.0,132516512.0
2025-11-30,127159590.0,130069446.0,133397092.0
2025-12-01,127057848.0,130919181.0,134660110.0
2025-12-02,127820557.0,131557308.0,134626078.0
2025-12-03,128348016.0,132088627.0,135130976.0
2025-12-04,129197751.0,133546745.0,135784032.0
2025-12-05,129883527.0,133282460.0,137408759.0
2025-12-06,130764107.0,134132685.0,138129382.0
2025-12-07,131872368.0,134785741.0,139640816.0
2025-12-08,131765402.0,135920865.0,140007613.0
2025-12-09,132615627.0,136768228.0,140598139.0
2025-12-10,133088163.0,137919386.0,140779850.0
2025-12-11,134712890.0,138286183.0,141628968.0
2025-12-12,135560253.0,138924358.0,141808878.0
2025-12-13,137071687.0,139455330.0,142916200.0
2025-12-14,136940069.0,139954591.0,143425322.0
2025-12-15,137621435.0,140291820.0,143675004.0
2025-12-16,138152407.0,141399142.0,145430646.0
2025-12-17,139168690.0,141727744.0,145447636.0
2025-12-18,139612885.0,142467029.0,145603223.0
2025-12-19,140377868.0,144222671.0,145560032.0
2025-12-20,140886990.0,144599937.0,145759136.0
2025-12-21,141626275.0,144257109.0,146037157.0
2025-12-22,143055679.0,144257109.0,146994347.0
2025-12-23,143362667.0,144456213.0,147379133.0
2025-12-24,143451363.0,145251256.0,147198613.0
2025-12-25,143451363.0,146315412.0,147265664.0
2025-12-26,143650467.0,146357859.0,148365335.0
2025-12-27,144426070.0,146357859.0,149409626.0
2025-12-28,145182696.0,146424910.0,149394176.0
2025-12-29,145336929.0,147198343.0,150657653.0
2025-12-30,145336929.0,148172356.0,150657653.0
2025-12-31,144870154.0,148588430.0,151685776.0
2026-01-01,145969825.0,149851907.0,151685776.0
2026-01-02,147014116.0,149851907.0,151420794.0
2026-01-03,147497081.0,150860590.0,151420794.0
2026-01-04,148502697.0,150553060.0,151420794.0
2026-01-05,147952585.0,150399864.0,151353129.0
2026-01-06,148742215.0,150399864.0,151453416.0
2026-01-07,147859669.0,149866038.0,151962497.0
2026-01-08,147861868.0,150124611.0,152768578.0
2026-01-09,147861868.0,150295176.0,153616966.0
2026-01-10,147648134.0,150871148.0,154609298.0
2026-01-11,147906707.0,151419368.0,155234508.0
2026-01-12,147773470.0,151717644.0,155900628.0
2026-01-13,147655166.0,152490923.0,157025555.0
2026-01-14,148461247.0,152541117.0,157174080.0
2026-01-15,149093906.0,153362632.0,159182045.0
2026-01-16,149575757.0,154487559.0,159454674.0
2026-01-17,150508497.0,154956176.0,160262892.0
2026-01-18,151023778.0,156964141.0,160005031.0
2026-01-19,151705131.0,156932968.0,160218550.0
2026-01-20,152387482.0,157046910.0,160637279.0
2026-01-21,154044348.0,157046910.0,160575812.0
2026-01-22,153968831.0,157594812.0,161462768.0
2026-01-23,154494422.0,157722113.0,162177060.0
2026-01-24,154494422.0,158543192.0,162721163.0
2026-01-25,154903553.0,159123914.0,163604823.0
2026-01-26,155560775.0,159394632.0,163755907.0
2026-01-27,156060479.0,160152469.0,163707659.0
2026-01-28,157022593.0,160685030.0,164217278.0
2026-01-29,157736885.0,160791770.0,164463852.0
2026-01-30,158242026.0,161155171.0,163933931.0
2026-01-31,158731986.0,161664790.0,163933931.0
2026-02-01,158930670.0,161772593.0,163552539.0
2026-02-02,159576698.0,161772593.0,163108965.0
2026-02-03,160020790.0,161451218.0,163108965.0
2026-02-04,160483093.0,161451218.0,162757866.0
2026-02-05,160483093.0,161451218.0,162732924.0
2026-02-06,160483093.0,161198522.0,162450297.0
2026-02-07,160483093.0,160804822.0,162450297.0
2026-02-08,160483093.0,160871824.0,162095797.0
2026-02-09,160483093.0,160871824.0,162095797.0
2026-02-10,160483093.0,160806297.0,161774422.0
2026-02-11,160806297.0,160806297.0,161774422.0
2026-02-12,160806297.0,160806297.0,161774422.0
2026-02-13,160806297.0,160806297.0,161521726.0
2026-02-14,160806297.0,160806297.0,161128026.0
2026-02-15,160806297.0,160806297.0,160871824.0
2026-02-16,160806297.0,160806297.0,160871824.0
2026-02-17,160806297.0,160806297.0,160806297.0
