invoice_id,vendor_id,amount,due_date,expected_delay,expected_payment_date,expected_outflow
AP0279,V011,162277,2025-12-02,3.44,2025-12-05,162277
AP0079,V011,149895,2025-12-05,3.3,2025-12-08,149895
AP0291,V011,150312,2025-12-11,3.45,2025-12-14,150312
AP0002,V011,66891,2025-12-28,3.42,2025-12-31,66891
AP0100,V012,263111,2025-02-12,7.31,2025-02-19,263111
AP0143,V012,240199,2025-03-16,2.0,2025-03-18,240199
AP0284,V012,117676,2025-04-29,2.0,2025-05-01,117676
AP0269,V012,108121,2025-05-20,2.33,2025-05-22,108121
AP0179,V012,94179,2025-07-03,2.75,2025-07-06,94179
AP0120,V012,287557,2025-07-30,3.2,2025-08-02,287557
AP0104,V012,70359,2025-10-01,3.17,2025-10-04,70359
AP0055,V012,268880,2025-11-10,3.43,2025-11-13,268880
AP0277,V012,355417,2025-11-16,3.62,2025-11-20,355417
AP0232,V012,349261,2025-11-29,3.67,2025-12-03,349261
AP0124,V012,109345,2026-01-21,3.6,2026-01-25,109345
AP0295,V012,282627,2026-01-26,3.73,2026-01-30,282627
AP0050,V013,58785,2025-04-12,7.31,2025-04-19,58785
AP0001,V013,143691,2025-06-04,4.0,2025-06-08,143691
AP0278,V013,104275,2025-06-18,3.5,2025-06-22,104275
AP0040,V013,207745,2025-08-13,3.0,2025-08-16,207745
AP0156,V013,49592,2025-09-19,3.5,2025-09-23,49592
AP0157,V013,179250,2025-10-21,3.2,2025-10-24,179250
AP0019,V013,180482,2025-11-18,3.33,2025-11-21,180482
AP0268,V013,303802,2026-01-15,3.57,2026-01-19,303802
AP0031,V014,18769,2025-02-06,7.31,2025-02-13,18769
AP0016,V014,126011,2025-02-23,28.0,2025-03-23,126011
AP0141,V014,139777,2025-03-24,16.0,2025-04-09,139777
AP0026,V014,151037,2025-04-11,15.33,2025-04-26,151037
AP0126,V014,265155,2025-05-06,11.25,2025-05-17,265155
AP0072,V014,230778,2025-06-21,14.8,2025-07-06,230778
AP0238,V014,47612,2025-10-09,14.67,2025-10-24,47612
AP0125,V014,106966,2025-12-02,13.14,2025-12-15,106966
AP0078,V014,105778,2025-12-30,13.88,2026-01-13,105778
AP0172,V014,75158,2026-01-01,13.89,2026-01-15,75158
AP0132,V014,348146,2026-01-16,12.6,2026-01-29,348146
AP0201,V014,287181,2026-01-25,13.36,2026-02-07,287181
AP0266,V015,98074,2025-02-25,7.31,2025-03-04,98074
AP0014,V015,256148,2025-03-22,22.0,2025-04-13,256148
AP0075,V015,81035,2025-03-26,18.5,2025-04-13,81035
AP0110,V015,222361,2025-05-29,17.0,2025-06-15,222361
AP0252,V015,72869,2025-06-15,14.25,2025-06-29,72869
AP0247,V015,132479,2025-06-19,11.4,2025-06-30,132479
AP0182,V015,139957,2025-07-29,9.33,2025-08-07,139957
AP0098,V015,215066,2025-08-10,8.57,2025-08-19,215066
AP0158,V015,208831,2025-10-07,10.5,2025-10-17,208831
AP0216,V015,228629,2025-10-19,8.78,2025-10-28,228629
AP0073,V016,199333,2025-03-11,7.31,2025-03-18,199333
AP0071,V016,49645,2025-04-15,12.0,2025-04-27,49645
AP0006,V016,184569,2025-05-17,11.0,2025-05-28,184569
AP0221,V016,210791,2025-08-05,11.33,2025-08-16,210791
AP0272,V016,298719,2025-08-29,11.0,2025-09-09,298719
AP0217,V016,126740,2025-11-17,11.8,2025-11-29,126740
AP0194,V017,199319,2025-02-06,7.31,2025-02-13,199319
AP0256,V017,166678,2025-02-25,4.0,2025-03-01,166678
AP0069,V017,241054,2025-04-27,4.0,2025-05-01,241054
AP0281,V017,132034,2025-08-02,3.67,2025-08-06,132034
AP0028,V017,205664,2025-09-21,3.5,2025-09-25,205664
AP0181,V017,18775,2025-11-15,3.2,2025-11-18,18775
AP0190,V017,360276,2025-12-07,3.17,2025-12-10,360276
AP0092,V018,198496,2025-02-18,7.31,2025-02-25,198496
AP0283,V018,125034,2025-02-28,9.0,2025-03-09,125034
AP0066,V018,180094,2025-03-19,11.5,2025-03-31,180094
AP0109,V018,211062,2025-04-22,12.33,2025-05-04,211062
AP0136,V018,98189,2025-06-27,12.75,2025-07-10,98189
AP0205,V018,247083,2025-07-17,13.2,2025-07-30,247083
AP0235,V018,17284,2025-07-27,12.5,2025-08-08,17284
AP0064,V018,362265,2025-11-11,12.57,2025-11-24,362265
AP0163,V018,102008,2025-11-22,12.75,2025-12-05,102008
AP0012,V018,257861,2025-12-29,13.0,2026-01-11,257861
AP0020,V018,243074,2026-01-01,12.9,2026-01-14,243074
AP0196,V018,130755,2026-01-15,12.82,2026-01-28,130755
AP0244,V019,238056,2025-03-03,7.31,2025-03-10,238056
AP0043,V019,286907,2025-03-20,-1.0,2025-03-19,286907
AP0242,V019,274989,2025-03-20,-1.0,2025-03-19,274989
AP0047,V019,251644,2025-04-14,-1.33,2025-04-13,251644
AP0287,V019,268068,2025-05-07,-1.5,2025-05-05,268068
AP0038,V019,128414,2025-06-04,-0.8,2025-06-03,128414
AP0231,V019,157760,2025-07-05,-0.67,2025-07-04,157760
AP0285,V019,227820,2025-07-12,-0.43,2025-07-12,227820
AP0225,V019,72600,2025-08-09,-0.12,2025-08-09,72600
AP0185,V019,194305,2025-08-15,0.11,2025-08-15,194305
AP0113,V019,213861,2025-09-07,0.2,2025-09-07,213861
AP0137,V019,342946,2025-10-11,0.0,2025-10-11,342946
AP0146,V020,136077,2025-04-12,7.31,2025-04-19,136077
AP0119,V020,215806,2025-08-17,3.0,2025-08-20,215806
AP0091,V020,253157,2025-10-03,2.5,2025-10-05,253157
AP0148,V020,127761,2025-11-02,3.33,2025-11-05,127761
AP0188,V020,207194,2025-12-04,3.5,2025-12-08,207194
AP0271,V020,180520,2025-12-14,3.2,2025-12-17,180520
AP0029,V020,342339,2025-12-23,3.33,2025-12-26,342339
AP0187,V021,140110,2025-03-15,7.31,2025-03-22,140110
AP0243,V021,49232,2025-08-20,2.0,2025-08-22,49232
AP0202,V021,379451,2025-11-01,2.0,2025-11-03,379451
AP0275,V021,26310,2025-11-05,2.0,2025-11-07,26310
AP0094,V021,43191,2025-12-10,1.75,2025-12-12,43191
AP0095,V021,285368,2026-01-12,1.8,2026-01-14,285368
AP0200,V021,354500,2026-01-30,1.5,2026-02-01,354500
AP0226,V022,104028,2025-02-26,7.31,2025-03-05,104028
AP0039,V022,26611,2025-03-13,11.0,2025-03-24,26611
AP0122,V022,200328,2025-04-09,10.0,2025-04-19,200328
AP0088,V022,95414,2025-10-13,9.67,2025-10-23,95414
AP0299,V022,132514,2025-11-28,10.25,2025-12-08,132514
AP0262,V022,70278,2025-12-19,11.0,2025-12-30,70278
AP0209,V022,132715,2026-01-02,11.17,2026-01-13,132715
AP0058,V023,53011,2025-03-09,7.31,2025-03-16,53011
AP0027,V023,17010,2025-04-18,12.0,2025-04-30,17010
AP0114,V023,117890,2025-05-20,10.0,2025-05-30,117890
AP0255,V023,196511,2025-06-07,10.67,2025-06-18,196511
AP0239,V023,58772,2025-06-23,13.0,2025-07-06,58772
AP0149,V023,161693,2025-06-29,9.8,2025-07-09,161693
AP0145,V023,269654,2025-07-29,10.17,2025-08-08,269654
AP0241,V023,250364,2025-08-09,9.43,2025-08-18,250364
AP0133,V023,266219,2025-09-15,8.25,2025-09-23,266219
AP0009,V023,152389,2025-12-06,7.89,2025-12-14,152389
AP0127,V023,131071,2025-12-27,9.1,2026-01-05,131071
AP0178,V024,64107,2025-03-24,7.31,2025-03-31,64107
AP0008,V024,300255,2025-04-01,13.0,2025-04-14,300255
AP0213,V024,29199,2025-04-01,13.0,2025-04-14,29199
AP0032,V024,290881,2025-06-20,12.33,2025-07-02,290881
AP0191,V024,164949,2025-08-19,12.25,2025-08-31,164949
AP0086,V024,119916,2025-09-24,11.4,2025-10-05,119916
AP0023,V024,345823,2025-11-06,12.0,2025-11-18,345823
AP0233,V024,180072,2025-11-06,12.0,2025-11-18,180072
AP0105,V024,321375,2026-01-22,11.5,2026-02-03,321375
AP0197,V025,18750,2025-03-09,7.31,2025-03-16,18750
AP0068,V025,137266,2025-03-15,2.0,2025-03-17,137266
AP0180,V025,97630,2025-04-09,2.0,2025-04-11,97630
AP0251,V025,246934,2025-05-17,0.67,2025-05-18,246934
AP0144,V025,120036,2025-06-01,0.5,2025-06-01,120036
AP0062,V025,63598,2025-06-18,0.8,2025-06-19,63598
AP0011,V025,209576,2025-06-24,0.5,2025-06-24,209576
AP0053,V025,29361,2025-07-17,0.57,2025-07-18,29361
AP0151,V025,41082,2025-08-29,0.5,2025-08-29,41082
AP0021,V025,307294,2025-10-08,0.44,2025-10-08,307294
AP0139,V025,263043,2025-11-05,0.5,2025-11-05,263043
AP0057,V025,214321,2025-12-13,0.64,2025-12-14,214321
AP0154,V025,280654,2026-01-12,0.5,2026-01-12,280654
AP0099,V025,354104,2026-01-13,0.54,2026-01-14,354104
AP0115,V025,55641,2026-01-26,0.43,2026-01-26,55641
AP0147,V026,193928,2025-03-02,7.31,2025-03-09,193928
AP0192,V026,269463,2025-06-02,4.0,2025-06-06,269463
AP0082,V026,180858,2025-06-04,4.5,2025-06-08,180858
AP0087,V026,46259,2025-06-29,4.67,2025-07-04,46259
AP0077,V026,276923,2025-07-18,4.75,2025-07-23,276923
AP0164,V026,40687,2025-07-25,4.6,2025-07-30,40687
AP0276,V026,261492,2025-08-02,4.17,2025-08-06,261492
AP0090,V026,48779,2025-08-12,4.29,2025-08-16,48779
AP0214,V026,152596,2025-09-07,4.38,2025-09-11,152596
AP0096,V026,65545,2025-09-08,4.11,2025-09-12,65545
AP0054,V026,267217,2025-09-18,3.9,2025-09-22,267217
AP0227,V026,39190,2025-10-22,3.82,2025-10-26,39190
AP0140,V027,241403,2025-02-21,7.31,2025-02-28,241403
AP0052,V027,188568,2025-03-10,11.0,2025-03-21,188568
AP0102,V027,221517,2025-04-13,12.5,2025-04-25,221517
AP0257,V027,30239,2025-04-30,12.33,2025-05-12,30239
AP0036,V027,150155,2025-07-31,12.75,2025-08-13,150155
AP0049,V027,293410,2025-08-18,13.0,2025-08-31,293410
AP0267,V027,270113,2025-08-21,13.0,2025-09-03,270113
AP0121,V027,215729,2026-01-10,12.29,2026-01-22,215729
AP0220,V028,138215,2025-02-06,7.31,2025-02-13,138215
AP0142,V028,245789,2025-02-16,2.0,2025-02-18,245789
AP0160,V028,290192,2025-03-04,3.0,2025-03-07,290192
AP0005,V028,108651,2025-03-09,3.67,2025-03-13,108651
AP0159,V028,250359,2025-03-19,3.5,2025-03-23,250359
AP0169,V028,58937,2025-06-20,3.6,2025-06-24,58937
AP0130,V028,15024,2025-08-02,3.67,2025-08-06,15024
AP0003,V028,58477,2025-08-08,3.86,2025-08-12,58477
AP0176,V028,79297,2025-09-04,3.75,2025-09-08,79297
AP0258,V028,298421,2025-09-19,3.89,2025-09-23,298421
AP0150,V028,68913,2025-10-21,3.8,2025-10-25,68913
AP0294,V028,231503,2025-10-27,3.73,2025-10-31,231503
AP0152,V028,99482,2026-01-01,3.58,2026-01-05,99482
AP0189,V028,218596,2026-01-03,3.54,2026-01-07,218596
AP0280,V029,40718,2025-06-23,7.31,2025-06-30,40718
AP0168,V029,218743,2025-12-29,25.0,2026-01-23,218743
AP0007,V030,121048,2025-02-07,7.31,2025-02-14,121048
AP0263,V030,21429,2025-03-10,7.0,2025-03-17,21429
AP0015,V030,204356,2025-05-15,3.0,2025-05-18,204356
AP0240,V030,282503,2025-05-29,7.0,2025-06-05,282503
AP0010,V030,299448,2025-06-02,10.5,2025-06-12,299448
AP0108,V030,280529,2025-06-04,11.4,2025-06-15,280529
AP0224,V030,175049,2025-07-13,10.5,2025-07-23,175049
AP0246,V030,181049,2025-08-20,8.86,2025-08-29,181049
AP0183,V030,241936,2025-08-29,9.62,2025-09-08,241936
AP0024,V030,53029,2025-11-04,9.44,2025-11-13,53029
AP0084,V030,149177,2025-11-15,11.3,2025-11-26,149177
